crop,state,pest,scientific_name,damage,symptoms,season,risk_conditions,source,verification_status
Paddy / Rice,Tamil Nadu,Yellow Stem Borer,Scirpophaga incertulas,Larvae bore into stem and feed on inner tissue; causes 'dead hearts' (drying of central tiller) in vegetative stage and 'white ears' (chaffy erect white panicles) in reproductive stage.,Internal stem pith,Early vegetative through heading stages,"Stagnant deep water, night temperatures 20-26°C, continuous staggered planting.",ICAR-IIRR & ANGRAU Vyavasaya Panchangam,VERIFIED
Paddy / Rice,Andhra Pradesh,Yellow Stem Borer,Scirpophaga incertulas,Larvae bore into stem and feed on inner tissue; causes 'dead hearts' (drying of central tiller) in vegetative stage and 'white ears' (chaffy erect white panicles) in reproductive stage.,Internal stem pith,Early vegetative through heading stages,"Stagnant deep water, night temperatures 20-26°C, continuous staggered planting.",ICAR-IIRR & ANGRAU Vyavasaya Panchangam,VERIFIED
Paddy / Rice,Telangana,Yellow Stem Borer,Scirpophaga incertulas,Larvae bore into stem and feed on inner tissue; causes 'dead hearts' (drying of central tiller) in vegetative stage and 'white ears' (chaffy erect white panicles) in reproductive stage.,Internal stem pith,Early vegetative through heading stages,"Stagnant deep water, night temperatures 20-26°C, continuous staggered planting.",ICAR-IIRR & ANGRAU Vyavasaya Panchangam,VERIFIED
Paddy / Rice,Karnataka,Yellow Stem Borer,Scirpophaga incertulas,Larvae bore into stem and feed on inner tissue; causes 'dead hearts' (drying of central tiller) in vegetative stage and 'white ears' (chaffy erect white panicles) in reproductive stage.,Internal stem pith,Early vegetative through heading stages,"Stagnant deep water, night temperatures 20-26°C, continuous staggered planting.",ICAR-IIRR & ANGRAU Vyavasaya Panchangam,VERIFIED
Paddy / Rice,Kerala,Yellow Stem Borer,Scirpophaga incertulas,Larvae bore into stem and feed on inner tissue; causes 'dead hearts' (drying of central tiller) in vegetative stage and 'white ears' (chaffy erect white panicles) in reproductive stage.,Internal stem pith,Early vegetative through heading stages,"Stagnant deep water, night temperatures 20-26°C, continuous staggered planting.",ICAR-IIRR & ANGRAU Vyavasaya Panchangam,VERIFIED
Chilli,Andhra Pradesh,Chilli Thrips,Scirtothrips dorsalis,Lacerate tender leaf tissues and suck oozing sap; leaves curl upwards into boat-shapes with roughened brown necrotic streaks on leaf undersides; causes 'murda' condition.,"Under-surface of leaves, growing tips, flowers",Transplanting to fruit development (October to April),"Hot and dry dry weather, absence of rain showers, temperatures 30-37°C.","ANGRAU Regional Agricultural Research Station (Lam, Guntur) & TNAU",VERIFIED
Chilli,Telangana,Chilli Thrips,Scirtothrips dorsalis,Lacerate tender leaf tissues and suck oozing sap; leaves curl upwards into boat-shapes with roughened brown necrotic streaks on leaf undersides; causes 'murda' condition.,"Under-surface of leaves, growing tips, flowers",Transplanting to fruit development (October to April),"Hot and dry dry weather, absence of rain showers, temperatures 30-37°C.","ANGRAU Regional Agricultural Research Station (Lam, Guntur) & TNAU",VERIFIED
Chilli,Karnataka,Chilli Thrips,Scirtothrips dorsalis,Lacerate tender leaf tissues and suck oozing sap; leaves curl upwards into boat-shapes with roughened brown necrotic streaks on leaf undersides; causes 'murda' condition.,"Under-surface of leaves, growing tips, flowers",Transplanting to fruit development (October to April),"Hot and dry dry weather, absence of rain showers, temperatures 30-37°C.","ANGRAU Regional Agricultural Research Station (Lam, Guntur) & TNAU",VERIFIED
Chilli,Tamil Nadu,Chilli Thrips,Scirtothrips dorsalis,Lacerate tender leaf tissues and suck oozing sap; leaves curl upwards into boat-shapes with roughened brown necrotic streaks on leaf undersides; causes 'murda' condition.,"Under-surface of leaves, growing tips, flowers",Transplanting to fruit development (October to April),"Hot and dry dry weather, absence of rain showers, temperatures 30-37°C.","ANGRAU Regional Agricultural Research Station (Lam, Guntur) & TNAU",VERIFIED
Cotton,Karnataka,Pink Bollworm,Pectinophora gossypiella,"Rosetted flowers that fail to open; entry holes in bolls heal over leaving no external sign, but larvae feed inside seeds, staining and destroying lint fiber; premature boll opening.","Squares, flower buds, green bolls, lint and seeds",Flowering and boll formation (October to January),"Late planted cotton, extended crop duration beyond 160 days, warm and humid post-monsoon weather.",ICAR-CICR Nagpur/Coimbatore & UAS Raichur,VERIFIED
Cotton,Telangana,Pink Bollworm,Pectinophora gossypiella,"Rosetted flowers that fail to open; entry holes in bolls heal over leaving no external sign, but larvae feed inside seeds, staining and destroying lint fiber; premature boll opening.","Squares, flower buds, green bolls, lint and seeds",Flowering and boll formation (October to January),"Late planted cotton, extended crop duration beyond 160 days, warm and humid post-monsoon weather.",ICAR-CICR Nagpur/Coimbatore & UAS Raichur,VERIFIED
Cotton,Andhra Pradesh,Pink Bollworm,Pectinophora gossypiella,"Rosetted flowers that fail to open; entry holes in bolls heal over leaving no external sign, but larvae feed inside seeds, staining and destroying lint fiber; premature boll opening.","Squares, flower buds, green bolls, lint and seeds",Flowering and boll formation (October to January),"Late planted cotton, extended crop duration beyond 160 days, warm and humid post-monsoon weather.",ICAR-CICR Nagpur/Coimbatore & UAS Raichur,VERIFIED
Cotton,Tamil Nadu,Pink Bollworm,Pectinophora gossypiella,"Rosetted flowers that fail to open; entry holes in bolls heal over leaving no external sign, but larvae feed inside seeds, staining and destroying lint fiber; premature boll opening.","Squares, flower buds, green bolls, lint and seeds",Flowering and boll formation (October to January),"Late planted cotton, extended crop duration beyond 160 days, warm and humid post-monsoon weather.",ICAR-CICR Nagpur/Coimbatore & UAS Raichur,VERIFIED
Sugarcane,Tamil Nadu,Early Shoot Borer,Chilo infuscatellus,Larva bores into base of young shoot just below soil level and feeds inside; central growing shoot dries up into an easily-pulled 'dead heart' emitting an offensive decaying smell.,Shoots of young cane (1 to 3 months old),Summer / Early shoot formative phase (March to June),"High temperatures (35-40°C), low relative humidity, light sandy soils, drought stress during early vegetative phase.",ICAR-Sugarcane Breeding Institute (SBI Coimbatore),VERIFIED
Sugarcane,Karnataka,Early Shoot Borer,Chilo infuscatellus,Larva bores into base of young shoot just below soil level and feeds inside; central growing shoot dries up into an easily-pulled 'dead heart' emitting an offensive decaying smell.,Shoots of young cane (1 to 3 months old),Summer / Early shoot formative phase (March to June),"High temperatures (35-40°C), low relative humidity, light sandy soils, drought stress during early vegetative phase.",ICAR-Sugarcane Breeding Institute (SBI Coimbatore),VERIFIED
Sugarcane,Andhra Pradesh,Early Shoot Borer,Chilo infuscatellus,Larva bores into base of young shoot just below soil level and feeds inside; central growing shoot dries up into an easily-pulled 'dead heart' emitting an offensive decaying smell.,Shoots of young cane (1 to 3 months old),Summer / Early shoot formative phase (March to June),"High temperatures (35-40°C), low relative humidity, light sandy soils, drought stress during early vegetative phase.",ICAR-Sugarcane Breeding Institute (SBI Coimbatore),VERIFIED
Sugarcane,Telangana,Early Shoot Borer,Chilo infuscatellus,Larva bores into base of young shoot just below soil level and feeds inside; central growing shoot dries up into an easily-pulled 'dead heart' emitting an offensive decaying smell.,Shoots of young cane (1 to 3 months old),Summer / Early shoot formative phase (March to June),"High temperatures (35-40°C), low relative humidity, light sandy soils, drought stress during early vegetative phase.",ICAR-Sugarcane Breeding Institute (SBI Coimbatore),VERIFIED
Coconut,Kerala,Rhinoceros Beetle,Oryctes rhinoceros,"Adult beetle bores into crown heart and chews unopened fronds; when damaged fronds unfold, leaflets display distinctive V-shaped geometric notches or clipped shears appearance.","Crown heart, unopened fronds and spathes",Year-round; peaks after monsoon rains (June-September),"Nearby rotting organic manure pits, decaying coconut stumps and coir dust mounds acting as breeding sites.",ICAR-CPCRI Kasaragod & KAU Agri-Infotech,VERIFIED
Coconut,Tamil Nadu,Rhinoceros Beetle,Oryctes rhinoceros,"Adult beetle bores into crown heart and chews unopened fronds; when damaged fronds unfold, leaflets display distinctive V-shaped geometric notches or clipped shears appearance.","Crown heart, unopened fronds and spathes",Year-round; peaks after monsoon rains (June-September),"Nearby rotting organic manure pits, decaying coconut stumps and coir dust mounds acting as breeding sites.",ICAR-CPCRI Kasaragod & KAU Agri-Infotech,VERIFIED
Coconut,Karnataka,Rhinoceros Beetle,Oryctes rhinoceros,"Adult beetle bores into crown heart and chews unopened fronds; when damaged fronds unfold, leaflets display distinctive V-shaped geometric notches or clipped shears appearance.","Crown heart, unopened fronds and spathes",Year-round; peaks after monsoon rains (June-September),"Nearby rotting organic manure pits, decaying coconut stumps and coir dust mounds acting as breeding sites.",ICAR-CPCRI Kasaragod & KAU Agri-Infotech,VERIFIED
Coconut,Andhra Pradesh,Rhinoceros Beetle,Oryctes rhinoceros,"Adult beetle bores into crown heart and chews unopened fronds; when damaged fronds unfold, leaflets display distinctive V-shaped geometric notches or clipped shears appearance.","Crown heart, unopened fronds and spathes",Year-round; peaks after monsoon rains (June-September),"Nearby rotting organic manure pits, decaying coconut stumps and coir dust mounds acting as breeding sites.",ICAR-CPCRI Kasaragod & KAU Agri-Infotech,VERIFIED
Coconut,Puducherry,Rhinoceros Beetle,Oryctes rhinoceros,"Adult beetle bores into crown heart and chews unopened fronds; when damaged fronds unfold, leaflets display distinctive V-shaped geometric notches or clipped shears appearance.","Crown heart, unopened fronds and spathes",Year-round; peaks after monsoon rains (June-September),"Nearby rotting organic manure pits, decaying coconut stumps and coir dust mounds acting as breeding sites.",ICAR-CPCRI Kasaragod & KAU Agri-Infotech,VERIFIED
Coconut,Kerala,Red Palm Weevil,Rhynchophorus ferrugineus,Small holes on trunk with thick brownish viscous fluid oozing out; extruded chewed coconut fibers from hole openings; gnawing crunching sounds audible inside trunk; central crown topples suddenly.,"Trunk core, crown cabbage",Year-round,"Palms with wounds, cuts from leaf pruning, or rhinoceros beetle damage; palms aged 5 to 20 years.",ICAR-CPCRI Kasaragod & TNAU,VERIFIED
Coconut,Tamil Nadu,Red Palm Weevil,Rhynchophorus ferrugineus,Small holes on trunk with thick brownish viscous fluid oozing out; extruded chewed coconut fibers from hole openings; gnawing crunching sounds audible inside trunk; central crown topples suddenly.,"Trunk core, crown cabbage",Year-round,"Palms with wounds, cuts from leaf pruning, or rhinoceros beetle damage; palms aged 5 to 20 years.",ICAR-CPCRI Kasaragod & TNAU,VERIFIED
Coconut,Karnataka,Red Palm Weevil,Rhynchophorus ferrugineus,Small holes on trunk with thick brownish viscous fluid oozing out; extruded chewed coconut fibers from hole openings; gnawing crunching sounds audible inside trunk; central crown topples suddenly.,"Trunk core, crown cabbage",Year-round,"Palms with wounds, cuts from leaf pruning, or rhinoceros beetle damage; palms aged 5 to 20 years.",ICAR-CPCRI Kasaragod & TNAU,VERIFIED
Coconut,Andhra Pradesh,Red Palm Weevil,Rhynchophorus ferrugineus,Small holes on trunk with thick brownish viscous fluid oozing out; extruded chewed coconut fibers from hole openings; gnawing crunching sounds audible inside trunk; central crown topples suddenly.,"Trunk core, crown cabbage",Year-round,"Palms with wounds, cuts from leaf pruning, or rhinoceros beetle damage; palms aged 5 to 20 years.",ICAR-CPCRI Kasaragod & TNAU,VERIFIED
Coconut,Puducherry,Red Palm Weevil,Rhynchophorus ferrugineus,Small holes on trunk with thick brownish viscous fluid oozing out; extruded chewed coconut fibers from hole openings; gnawing crunching sounds audible inside trunk; central crown topples suddenly.,"Trunk core, crown cabbage",Year-round,"Palms with wounds, cuts from leaf pruning, or rhinoceros beetle damage; palms aged 5 to 20 years.",ICAR-CPCRI Kasaragod & TNAU,VERIFIED
Maize / Corn,Karnataka,Fall Armyworm (FAW),Spodoptera frugiperda,Young larvae scrape epidermal layer creating papery pinholes; older larvae feed inside leaf whorl causing heavy ragged windowing and leaving prominent piles of wet sawdust-like fecal frass; inverted Y mark on head.,"Leaf whorl, tassel, ear silks, developing kernels","Kharif, Rabi and Summer crops","Warm and semi-arid conditions (26-34°C), prolonged dry spells followed by rain.",ICAR-NBAIR Bengaluru & ICAR-IIMR,VERIFIED
Maize / Corn,Telangana,Fall Armyworm (FAW),Spodoptera frugiperda,Young larvae scrape epidermal layer creating papery pinholes; older larvae feed inside leaf whorl causing heavy ragged windowing and leaving prominent piles of wet sawdust-like fecal frass; inverted Y mark on head.,"Leaf whorl, tassel, ear silks, developing kernels","Kharif, Rabi and Summer crops","Warm and semi-arid conditions (26-34°C), prolonged dry spells followed by rain.",ICAR-NBAIR Bengaluru & ICAR-IIMR,VERIFIED
Maize / Corn,Andhra Pradesh,Fall Armyworm (FAW),Spodoptera frugiperda,Young larvae scrape epidermal layer creating papery pinholes; older larvae feed inside leaf whorl causing heavy ragged windowing and leaving prominent piles of wet sawdust-like fecal frass; inverted Y mark on head.,"Leaf whorl, tassel, ear silks, developing kernels","Kharif, Rabi and Summer crops","Warm and semi-arid conditions (26-34°C), prolonged dry spells followed by rain.",ICAR-NBAIR Bengaluru & ICAR-IIMR,VERIFIED
Maize / Corn,Tamil Nadu,Fall Armyworm (FAW),Spodoptera frugiperda,Young larvae scrape epidermal layer creating papery pinholes; older larvae feed inside leaf whorl causing heavy ragged windowing and leaving prominent piles of wet sawdust-like fecal frass; inverted Y mark on head.,"Leaf whorl, tassel, ear silks, developing kernels","Kharif, Rabi and Summer crops","Warm and semi-arid conditions (26-34°C), prolonged dry spells followed by rain.",ICAR-NBAIR Bengaluru & ICAR-IIMR,VERIFIED
Wheat,Karnataka,Wheat Aphids,Rhopalosiphum padi & Sitobion avenae,"Colonies cluster on tender leaves and ears, sucking cell sap; honeydew secretion leads to black sooty mold; shriveled and poorly formed grain heads.","Leaves, leaf sheaths, ears, emerging grains",Rabi (January to March),"Cool cloudy weather, calm winds, temperatures 15-22°C.",UAS Dharwad Department of Agricultural Entomology,VERIFIED
Wheat,Northern Telangana,Wheat Aphids,Rhopalosiphum padi & Sitobion avenae,"Colonies cluster on tender leaves and ears, sucking cell sap; honeydew secretion leads to black sooty mold; shriveled and poorly formed grain heads.","Leaves, leaf sheaths, ears, emerging grains",Rabi (January to March),"Cool cloudy weather, calm winds, temperatures 15-22°C.",UAS Dharwad Department of Agricultural Entomology,VERIFIED
Coffee,Karnataka,Coffee White Stem Borer,Xylotrechus quadripes,"Grub tunnels inside hardwood causing characteristic external ridges/rings on trunk bark; leaves yellow, wilt and dry out; bearing branches snap easily; killed bushes.","Main stem, thick primary branches of Arabica coffee",Flight periods: Summer (April-May) and Autumn (October-November),"Open unshaded coffee patches, bright sunlight directly hitting main stems, post-monsoon warm dry periods.",Central Coffee Research Institute (CCRI Balehonnur),VERIFIED
Coffee,Kerala,Coffee White Stem Borer,Xylotrechus quadripes,"Grub tunnels inside hardwood causing characteristic external ridges/rings on trunk bark; leaves yellow, wilt and dry out; bearing branches snap easily; killed bushes.","Main stem, thick primary branches of Arabica coffee",Flight periods: Summer (April-May) and Autumn (October-November),"Open unshaded coffee patches, bright sunlight directly hitting main stems, post-monsoon warm dry periods.",Central Coffee Research Institute (CCRI Balehonnur),VERIFIED
Coffee,Tamil Nadu,Coffee White Stem Borer,Xylotrechus quadripes,"Grub tunnels inside hardwood causing characteristic external ridges/rings on trunk bark; leaves yellow, wilt and dry out; bearing branches snap easily; killed bushes.","Main stem, thick primary branches of Arabica coffee",Flight periods: Summer (April-May) and Autumn (October-November),"Open unshaded coffee patches, bright sunlight directly hitting main stems, post-monsoon warm dry periods.",Central Coffee Research Institute (CCRI Balehonnur),VERIFIED
Tea,Tamil Nadu,Tea Mosquito Bug,Helopeltis theivora,Nymphs and adults insert stylets into tender leaves causing translucent water-soaked spots which turn dark reddish-brown; feeding spots coalesce into scorched crusts; shoot growth arrests completely.,"Tender shoots, pluckable flushes, young buds",Pre-monsoon and post-monsoon flushes,"Warm humid weather with intermittent rainfall, shady humid pockets, relative humidity >80%.",UPASI Tea Research Institute (Valparai),VERIFIED
Tea,Kerala,Tea Mosquito Bug,Helopeltis theivora,Nymphs and adults insert stylets into tender leaves causing translucent water-soaked spots which turn dark reddish-brown; feeding spots coalesce into scorched crusts; shoot growth arrests completely.,"Tender shoots, pluckable flushes, young buds",Pre-monsoon and post-monsoon flushes,"Warm humid weather with intermittent rainfall, shady humid pockets, relative humidity >80%.",UPASI Tea Research Institute (Valparai),VERIFIED
Rubber,Kerala,Scale Insects and Mealybugs,Saissetia nigra & Planococcus citri,Suck plant sap from tender shoots causing yellowing and stunted growth; heavy excretion of honeydew promotes dense black sooty mold (Capnodium) covering foliage.,"Tender green twigs, budded nursery stumps, young shoots",Summer and post-monsoon dry months,"Dry hot periods with absence of heavy rain, mutualistic ant activity protecting colonies.",Rubber Research Institute of India (RRII Kottayam),VERIFIED
Rubber,Tamil Nadu,Scale Insects and Mealybugs,Saissetia nigra & Planococcus citri,Suck plant sap from tender shoots causing yellowing and stunted growth; heavy excretion of honeydew promotes dense black sooty mold (Capnodium) covering foliage.,"Tender green twigs, budded nursery stumps, young shoots",Summer and post-monsoon dry months,"Dry hot periods with absence of heavy rain, mutualistic ant activity protecting colonies.",Rubber Research Institute of India (RRII Kottayam),VERIFIED
Tobacco,Andhra Pradesh,Tobacco Caterpillar,Spodoptera litura,"Young larvae skeletonize leaves gregariously leaving only veins; older larvae disperse and voraciously devour entire leaf lamina, leaving only midribs; renders cured leaf unmarketable.",Leaves of all stages,Nursery and field vegetative stages,"Warm humid conditions (26-32°C), high soil moisture, proximity to castor or vegetable crops.",ICAR-Central Tobacco Research Institute (CTRI Rajahmundry),VERIFIED
Tobacco,Karnataka,Tobacco Caterpillar,Spodoptera litura,"Young larvae skeletonize leaves gregariously leaving only veins; older larvae disperse and voraciously devour entire leaf lamina, leaving only midribs; renders cured leaf unmarketable.",Leaves of all stages,Nursery and field vegetative stages,"Warm humid conditions (26-32°C), high soil moisture, proximity to castor or vegetable crops.",ICAR-Central Tobacco Research Institute (CTRI Rajahmundry),VERIFIED
Black Pepper,Kerala,Pollu Beetle,Longitarsus nigripennis,"Adults feed on tender leaves making circular holes; grubs bore into young tender berries and feed internally, turning developing berries hollow, black and brittle (pollu berries).","Tender berries, spikes, young leaves",Spike emergence to berry maturation (July to October),"Dense shaded canopy, high relative humidity (>85%), post-monsoon spike emergence.",ICAR-Indian Institute of Spices Research (IISR Kozhikode),VERIFIED
Black Pepper,Karnataka,Pollu Beetle,Longitarsus nigripennis,"Adults feed on tender leaves making circular holes; grubs bore into young tender berries and feed internally, turning developing berries hollow, black and brittle (pollu berries).","Tender berries, spikes, young leaves",Spike emergence to berry maturation (July to October),"Dense shaded canopy, high relative humidity (>85%), post-monsoon spike emergence.",ICAR-Indian Institute of Spices Research (IISR Kozhikode),VERIFIED
Black Pepper,Tamil Nadu,Pollu Beetle,Longitarsus nigripennis,"Adults feed on tender leaves making circular holes; grubs bore into young tender berries and feed internally, turning developing berries hollow, black and brittle (pollu berries).","Tender berries, spikes, young leaves",Spike emergence to berry maturation (July to October),"Dense shaded canopy, high relative humidity (>85%), post-monsoon spike emergence.",ICAR-Indian Institute of Spices Research (IISR Kozhikode),VERIFIED
Cardamom,Kerala,Cardamom Thrips,Sciothrips cardamomi,"Insects lacerate surface of capsules; causes corky encrustations, shedding of young flowers, and deformed, scabby, undersized capsules that lose essential oil market value.","Panicles, flower buds, tender capsules",Active throughout flowering and capsule development (February to September),"Dry warm spells during flowering, poorly regulated shade in plantation understorey.",Indian Cardamom Research Institute (ICRI Myladumpara) & ICAR-IISR,VERIFIED
Cardamom,Karnataka,Cardamom Thrips,Sciothrips cardamomi,"Insects lacerate surface of capsules; causes corky encrustations, shedding of young flowers, and deformed, scabby, undersized capsules that lose essential oil market value.","Panicles, flower buds, tender capsules",Active throughout flowering and capsule development (February to September),"Dry warm spells during flowering, poorly regulated shade in plantation understorey.",Indian Cardamom Research Institute (ICRI Myladumpara) & ICAR-IISR,VERIFIED
Cardamom,Tamil Nadu,Cardamom Thrips,Sciothrips cardamomi,"Insects lacerate surface of capsules; causes corky encrustations, shedding of young flowers, and deformed, scabby, undersized capsules that lose essential oil market value.","Panicles, flower buds, tender capsules",Active throughout flowering and capsule development (February to September),"Dry warm spells during flowering, poorly regulated shade in plantation understorey.",Indian Cardamom Research Institute (ICRI Myladumpara) & ICAR-IISR,VERIFIED
Turmeric,Tamil Nadu,Shoot Borer,Conogethes punctiferalis,Larvae bore into pseudostem and feed on internal tissues; presence of bore-hole plugged with brownish granular frass; central shoot yellows and dries up producing a 'dead heart'.,"Pseudostem, central core shoot",August to October (active growth period),"Warm and humid conditions (25-32°C), dense foliage, absence of natural predators.",TNAU Agritech Portal & PJTSAU Hyderabad,VERIFIED
Turmeric,Telangana,Shoot Borer,Conogethes punctiferalis,Larvae bore into pseudostem and feed on internal tissues; presence of bore-hole plugged with brownish granular frass; central shoot yellows and dries up producing a 'dead heart'.,"Pseudostem, central core shoot",August to October (active growth period),"Warm and humid conditions (25-32°C), dense foliage, absence of natural predators.",TNAU Agritech Portal & PJTSAU Hyderabad,VERIFIED
Turmeric,Andhra Pradesh,Shoot Borer,Conogethes punctiferalis,Larvae bore into pseudostem and feed on internal tissues; presence of bore-hole plugged with brownish granular frass; central shoot yellows and dries up producing a 'dead heart'.,"Pseudostem, central core shoot",August to October (active growth period),"Warm and humid conditions (25-32°C), dense foliage, absence of natural predators.",TNAU Agritech Portal & PJTSAU Hyderabad,VERIFIED
Turmeric,Karnataka,Shoot Borer,Conogethes punctiferalis,Larvae bore into pseudostem and feed on internal tissues; presence of bore-hole plugged with brownish granular frass; central shoot yellows and dries up producing a 'dead heart'.,"Pseudostem, central core shoot",August to October (active growth period),"Warm and humid conditions (25-32°C), dense foliage, absence of natural predators.",TNAU Agritech Portal & PJTSAU Hyderabad,VERIFIED
Arecanut / Betel Nut,Karnataka,Arecanut Spindle Bug,Carvalhoia arecae,"Colonies inhabit innermost leaf axils of spindle; suck sap from tender folded leaf blades causing linear dark brown necrotic streaks; when spindle unfurls, leaves appear shredded, torn and stunted.",Innermost tender spindle leaf,Monsoon and post-monsoon (June to November),"Continuous high humidity (>90%) in valleys, low sunlight penetration in dense gardens.",ICAR-CPCRI Regional Station Vittal & UAS Dharwad,VERIFIED
Arecanut / Betel Nut,Kerala,Arecanut Spindle Bug,Carvalhoia arecae,"Colonies inhabit innermost leaf axils of spindle; suck sap from tender folded leaf blades causing linear dark brown necrotic streaks; when spindle unfurls, leaves appear shredded, torn and stunted.",Innermost tender spindle leaf,Monsoon and post-monsoon (June to November),"Continuous high humidity (>90%) in valleys, low sunlight penetration in dense gardens.",ICAR-CPCRI Regional Station Vittal & UAS Dharwad,VERIFIED
Arecanut / Betel Nut,Tamil Nadu,Arecanut Spindle Bug,Carvalhoia arecae,"Colonies inhabit innermost leaf axils of spindle; suck sap from tender folded leaf blades causing linear dark brown necrotic streaks; when spindle unfurls, leaves appear shredded, torn and stunted.",Innermost tender spindle leaf,Monsoon and post-monsoon (June to November),"Continuous high humidity (>90%) in valleys, low sunlight penetration in dense gardens.",ICAR-CPCRI Regional Station Vittal & UAS Dharwad,VERIFIED
Cashew,Karnataka,Tea Mosquito Bug (TMB),Helopeltis antonii,Bugs pierce tender tissues and inject toxic saliva; produces elongated brownish-black resinous necrotic feeding lesions; shoots dry up causing 'shoot dieback'; complete drying of blossom panicles.,"Tender vegetative flushes, panicles, developing apples and nuts","Flushing, flowering and nut initiation (October to March)","Sunny weather following monsoon rains, flush and flowering emergence during December-February.",ICAR-Directorate of Cashew Research (DCR Puttur) & KAU,VERIFIED
Cashew,Kerala,Tea Mosquito Bug (TMB),Helopeltis antonii,Bugs pierce tender tissues and inject toxic saliva; produces elongated brownish-black resinous necrotic feeding lesions; shoots dry up causing 'shoot dieback'; complete drying of blossom panicles.,"Tender vegetative flushes, panicles, developing apples and nuts","Flushing, flowering and nut initiation (October to March)","Sunny weather following monsoon rains, flush and flowering emergence during December-February.",ICAR-Directorate of Cashew Research (DCR Puttur) & KAU,VERIFIED
