crop,crop_id,pest,scientific_name,pest_type,affected_plant_part,damage_symptoms,life_stage,favourable_conditions,cause_relationship,affected_diseases,management,prevention,source,source_url,verification_status,verification_date
"Barnyard Millet","barnyard_millet","Barnyard Millet Shoot Fly","Atherigona falcata","Dipteran shoot fly","Central whorl of young plants","Central leaf drying and dead heart formation in seedlings 15 to 30 days after sowing.","Maggot","Delayed planting, intermittent rainfall.","Pest infestation/damage","None directly transmitted","Seed treatment with Imidacloprid 600 FS @ 5ml/kg; spray NSKE 5%.","Timely sowing with onset of monsoon; remove affected tillers.","ICAR-IIMR Small Millets Research","https://millets.res.in","VERIFIED","2026-09-20"
"Proso Millet","proso_millet","Proso Millet Shoot Fly","Atherigona miliaceae","Dipteran fly","Tender growing shoot","Dead hearts and excessive profuse tillering without productive panicles.","Maggot","Warm humid environment, late planting.","Pest infestation/damage","None directly transmitted","Foliar spray of Azadirachtin 10,000 ppm @ 2ml/L at 14 and 28 days.","Sow synchronously; avoid dense shading.","ICAR-IIMR Hyderabad","https://millets.res.in","VERIFIED","2026-09-20"
"Wheat","wheat","Wheat Aphid","Sitobion avenae","Hemipteran sucking insect","Leaves, earheads, milky grains","Dense colonies sucking sap from leaves and earheads; plants turn yellow and produce shriveled, light grains.","Nymphs and adults","Cool, cloudy, humid weather during January-February in North/Central/South India.","Pest vectors and transmits plant pathogenic virus","Barley Yellow Dwarf Virus (BYDV)","Spray Thiamethoxam 25% WG @ 0.3g/L or Dimethoate 30% EC @ 1.5ml/L at economic threshold (>5 aphids/earhead).","Conserve natural predators (Coccinella septempunctata ladybird beetles); avoid excessive nitrogen.","ICAR-IIWBR Karnal","https://iiwbr.icar.gov.in","VERIFIED","2026-09-20"
"Wheat","wheat","Termites (White Ants)","Microtermes obesi","Isopteran root pest","Roots and lower stem","Plants dry up in patches; damaged roots show hollowed tunnels filled with soil particles.","Workers","Sandy or light dry soils, un-decomposed FYM.","Pest infestation/damage","None directly transmitted","Seed treatment with Chlorpyrifos 20% EC @ 4ml/kg; drench affected patches with Chlorpyrifos 20% EC @ 3ml/L.","Use only well-decomposed FYM; deep summer ploughing.","ICAR-IIWBR Karnal & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Red Gram","red_gram","Gram Pod Borer","Helicoverpa armigera","Lepidopteran pod borer","Flowers, buds, green pods","Defoliation during vegetative phase; round holes bored into pods with head inside and body outside; damaged empty pods.","Larvae","Warm dry days with cool nights during flowering and podding.","Pest infestation/damage","None directly transmitted","Spray HaNPV @ 250 LE/ha; spray Chlorantraniliprole 18.5% SC @ 0.3ml/L or Flubendiamide 39.35% SC @ 0.2ml/L.","Install Helilure pheromone traps (5/acre); intercrop with sorghum or maize (4:1) as bird perches.","ICAR-IIPR Kanpur & TNAU","https://iipr.icar.gov.in","VERIFIED","2026-09-20"
"Red Gram","red_gram","Pigeonpea Pod Fly","Melanagromyza obtusa","Dipteran pod fly","Seeds inside developing pods","Maggots feed internally on seeds without external pod holes; exit pinholes visible only when adult emerges.","Maggots","Long duration cultivars, cloudy humid conditions during late flowering.","Pest infestation/damage","None directly transmitted","Spray Dimethoate 30% EC @ 1.7ml/L or Quinalphos 25% EC @ 2ml/L at 50% flowering stage.","Grow resistant cultivars; early harvesting.","ICAR-IIPR Kanpur","https://iipr.icar.gov.in","VERIFIED","2026-09-20"
"Black Gram","black_gram","Whitefly","Bemisia tabaci","Hemipteran sap feeder","Underside of leaves","Sap sucking produces leaf chlorosis; vector of devastating yellow mosaic virus.","Nymphs and adults","Warm dry weather (30-36°C) during vegetative growth.","Pest vectors and transmits plant pathogenic virus","Yellow Mosaic Virus (MYMV)","Spray Acetamiprid 20% SP @ 0.2g/L or Diafenthiuron 50% WP @ 1.25g/L; neem oil 10,000 ppm @ 2ml/L.","Install yellow sticky traps (15/acre); seed treatment with Imidacloprid 70% WS @ 5g/kg.","ICAR-IIPR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Green Gram","green_gram","Whitefly","Bemisia tabaci","Hemipteran sap feeder","Foliage undersurface","Sap drainage, honeydew secretion, vector of Mungbean Yellow Mosaic Virus.","Nymphs and adults","High temperatures with dry atmosphere.","Pest vectors and transmits plant pathogenic virus","Mungbean Yellow Mosaic Virus (MYMV)","Foliar spray of Thiamethoxam 25% WG @ 0.3g/L or Dimethoate 30% EC @ 1.7ml/L.","Yellow sticky traps @ 12-15/acre; grow MYMV-tolerant cultivars (e.g. VBN 4, CO 8).","ICAR-IIPR & TNAU Agritech","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Bengal Gram","bengal_gram","Gram Pod Borer","Helicoverpa armigera","Lepidopteran pod borer","Leaves, buds, developing pods","Young caterpillars skeletonize leaves; older larvae bore circular holes into pods to consume seeds.","Larvae","Warm sunny days after winter showers, vegetative and podding stages.","Pest infestation/damage","None directly transmitted","Spray HaNPV 250 LE/ha; spray Chlorantraniliprole 18.5% SC @ 0.3ml/L or Emamectin Benzoate 5% SG @ 0.4g/L.","Install pheromone traps (5/acre); erect bird perches (20/acre); intercrop with coriander or mustard.","ICAR-IIPR Kanpur & ICRISAT","https://iipr.icar.gov.in","VERIFIED","2026-09-20"
"Cowpea","cowpea","Cowpea Aphid","Aphis craccivora","Hemipteran sucking insect","Tender shoots, flowers, young pods","Dense black aphid colonies curling tender leaves and stunting plant growth; vector of mosaic viruses.","Nymphs and adults","Cloudy humid weather during early vegetative growth.","Pest vectors and transmits plant pathogenic virus","Cowpea Aphid-Borne Mosaic Virus (CABMV)","Spray Dimethoate 30% EC @ 1.5ml/L or Neem oil 10,000 ppm @ 2ml/L.","Install yellow sticky traps; avoid excess nitrogen.","ICAR-IIPR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Field Bean","field_bean","Lablab Pod Borer","Adisura atkinsoni","Lepidopteran borer","Inflorescence, flower buds, green pods","Larvae bore into buds and green pods, sealing the entry hole with silk and faecal pellets.","Larvae","Cool humid winter evenings during flowering.","Pest infestation/damage","None directly transmitted","Spray Spinosad 45% SC @ 0.3ml/L or Chlorantraniliprole 18.5% SC @ 0.3ml/L at flower initiation.","Install light traps; spray neem seed extract 5% at bud burst.","UAS Bengaluru & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Groundnut","groundnut","Groundnut Leaf Miner","Aproaerema modicella","Lepidopteran leaf miner","Foliage","Small translucent blister mines on leaves; later leaflets webbed together and skeletonized, giving burnt appearance.","Larvae","Rainfall deficit, prolonged dry spells in kharif/rabi.","Pest infestation/damage","None directly transmitted","Spray Quinalphos 25% EC @ 2ml/L or Dimethoate 30% EC @ 1.7ml/L or Chlorantraniliprole 18.5% SC @ 0.3ml/L.","Install light traps and pheromone traps; intercrop with pearl millet or cumbu (4:1).","ICAR-DGR Junagadh & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Groundnut","groundnut","Red Hairy Caterpillar","Amsacta albistriga","Lepidopteran voracious defoliator","Entire foliage","Mass gregarious feeding of hairy reddish-brown caterpillars defoliating entire crop canopy.","Larvae","Early monsoon rains in sandy soils of South India.","Pest infestation/damage","None directly transmitted","Dig trenches (30cm deep) around fields and dust with methyl parathion 2%; spray Chlorpyrifos 20% EC @ 2.5ml/L.","Organize community bonfires / light traps on first rain nights to catch emerging moths.","ICAR-DGR Junagadh & UAS Raichur","https://dgr.icar.gov.in","VERIFIED","2026-09-20"
"Sesame","sesame","Til Leaf and Pod Caterpillar","Antigastra catalaunalis","Lepidopteran leaf webber & borer","Top shoots, leaves, flowers, capsules","Tender leaves webbed together; larvae feed inside web and bore into capsules, resulting in empty seedless pods.","Larvae","Warm humid climate with intermittent sunshine.","Pest infestation/damage","None directly transmitted","Spray Quinalphos 25% EC @ 2ml/L or Emamectin Benzoate 5% SG @ 0.4g/L at flowering.","Clip and destroy webbed shoot tips during early infestation; deep summer ploughing.","ICAR-AICRP Sesame & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Sunflower","sunflower","Capitulum Borer / Head Borer","Helicoverpa armigera","Lepidopteran borer","Developing capitulum (flower head), developing seeds","Caterpillars feed on disc florets and bore into developing seeds, lining head with dark excreta.","Larvae","Sunny warm weather during ray-floret opening and seed-filling stages.","Pest infestation/damage","Predisposes capitulum to Rhizopus head rot","Spray Chlorantraniliprole 18.5% SC @ 0.3ml/L or Spinosad 45% SC @ 0.3ml/L directly on heads.","Install pheromone traps @ 5/acre; erect bird perches.","ICAR-IIOR Hyderabad","https://icar-iior.org.in","VERIFIED","2026-09-20"
"Castor","castor","Castor Semilooper","Achaea janata","Lepidopteran defoliator","Leaves","Voracious defoliation leaving only midribs and main veins; plants completely stripped of foliage.","Larvae (semilooper)","Cloudy overcast weather during July-September.","Pest infestation/damage","None directly transmitted","Release egg parasitoid Trichogramma chilonis @ 50,000/ha; spray Bacillus thuringiensis @ 2g/L or Profenofos 50% EC @ 2ml/L.","Handpick early instar semiloopers; install light traps for moths.","ICAR-IIOR Hyderabad & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Safflower","safflower","Safflower Aphid","Uroleucon compositae","Hemipteran sucking pest","Stems, leaves, flower buds","Dense black colonies covering stems; sap suction leads to stunting, poor capitulum development and yield loss up to 70%.","Nymphs and adults","Cool dry weather (15-28°C) during December-January.","Pest infestation/damage","None directly transmitted","Spray Dimethoate 30% EC @ 1.7ml/L or Thiamethoxam 25% WG @ 0.3g/L at aphid colonization.","Early sowing in October to escape peak aphid population; conserve ladybird beetles.","ICAR-IIOR Hyderabad","https://icar-iior.org.in","VERIFIED","2026-09-20"
"Soybean","soybean","Girdle Beetle","Obereopsis brevis","Coleopteran stem borer","Petioles, stems","Female cuts two parallel circular girdles on petiole or stem; foliage above girdle withers, dries, and drops.","Grub inside stem","High relative humidity with warm temperatures during July-August.","Pest infestation/damage","None directly transmitted","Spray Chlorantraniliprole 18.5% SC @ 0.3ml/L or Thiamethoxam 12.6% + Lambda-cyhalothrin 9.5% ZC @ 0.3ml/L.","Collect and destroy cut withered petioles; rotate crop with maize or sorghum.","ICAR-IISR Indore & UAS Dharwad","https://iisrindore.icar.gov.in","VERIFIED","2026-09-20"
"Cotton","cotton","Pink Bollworm","Pectinophora gossypiella","Lepidopteran bollworm","Squares, flowers, green bolls, seeds","Rosetted flower buds; larvae bore into young bolls, feeding on seeds and staining lint; premature boll opening.","Larvae","Late vegetative and reproductive phase, warm humid nights.","Pest infestation/damage","Predisposes bolls to boll rot fungi (Aspergillus, Colletotrichum)","Install Gossyplure pheromone traps @ 5/acre for monitoring (8/trap/day = ETL); spray Spinetoram 11.7% SC @ 0.8ml/L or Emamectin Benzoate 5% SG @ 0.5g/L.","Plant non-Bt refuge; terminate crop by mid-January to break pest life cycle; avoid ratoon cotton.","ICAR-CICR Nagpur & TNAU","https://cicr.icar.gov.in","VERIFIED","2026-09-20"
"Cotton","cotton","Cotton Whitefly","Bemisia tabaci","Hemipteran sucking pest","Underside of leaves","Chlorotic stippling on leaf surface; severe honeydew secretion resulting in black sooty mold; vector of Cotton Leaf Curl Virus.","Nymphs and adults","Hot dry weather, excessive synthetic pyrethroid sprays.","Pest vectors and transmits plant pathogenic virus","Cotton Leaf Curl Virus (CLCuV)","Spray Diafenthiuron 50% WP @ 1.2g/L or Pyriproxyfen 10% EC @ 2ml/L; spray neem oil 10,000 ppm @ 2ml/L.","Install yellow sticky traps @ 15/acre; avoid resurgence-causing insecticides.","ICAR-CICR Nagpur","https://cicr.icar.gov.in","VERIFIED","2026-09-20"
"Sugarcane","sugarcane","Early Shoot Borer (ESB)","Chilo infuscatellus","Lepidopteran borer","Growing points of young shoots (1-3 months)","Dead hearts in mother shoots and tillers during first 90 days; foul smell when pulled; base shows tiny entry hole.","Larvae","High temperatures (35-42°C) and low humidity during summer months.","Pest infestation/damage","None directly transmitted","Release egg parasitoid Trichogramma chilonis @ 50,000/ha at 10-day intervals; soil drenching of Chlorantraniliprole 18.5% SC @ 1.5ml/L along cane furrow.","Trash mulching (10-15cm thick) @ 3 tonnes/ha within 3 days of planting; earthing up at 45 days.","ICAR-SBI Coimbatore & TNAU","https://sugarcane.icar.gov.in","VERIFIED","2026-09-20"
"Sugarcane","sugarcane","Sugarcane Woolly Aphid","Ceratovacuna lanigera","Hemipteran sucking insect","Under-surface of leaves","Dense white woolly waxy colonies on lower leaf surface; leaves turn yellow and dry; copious honeydew leads to thick black sooty mold.","Nymphs and apterous adults","Humid tropical climate, dense vegetative canopy.","Pest infestation/damage","None directly transmitted","Conserve or release predator Dipha aphidivora / Micromus igorotus; spot spray Dimethoate 30% EC @ 1.7ml/L or Acephate 75% SP @ 1.5g/L on lower leaves.","Avoid excessive nitrogen; de-trash lower 3-4 dry leaves.","ICAR-SBI Coimbatore","https://sugarcane.icar.gov.in","VERIFIED","2026-09-20"
"Tobacco","tobacco","Tobacco Caterpillar","Spodoptera litura","Lepidopteran defoliator","Foliage","Early instars skeletonize leaf lamina gregariously; older larvae defoliate large irregular patches leaving only midribs.","Larvae","Warm humid nights, cloudy weather.","Pest infestation/damage","None directly transmitted","Spray SlNPV @ 250 LE/ha with 1% jaggery; spray Emamectin Benzoate 5% SG @ 0.4g/L or Chlorantraniliprole 18.5% SC @ 0.3ml/L.","Install Spodolure pheromone traps @ 5/acre; plant castor as border trap crop.","ICAR-CTRI Rajahmundry","https://ctri.icar.gov.in","VERIFIED","2026-09-20"
"Tomato","tomato","Tomato Fruit Borer","Helicoverpa armigera","Lepidopteran borer (Caterpillar)","Leaves, flower buds, green and ripe fruits","Larvae bore round circular holes into tomato fruits and feed while keeping anterior body inside and posterior outside; fruits rot and drop prematurely.","Larval instars (3rd to 5th)","Warm days (26-32°C), moderate relative humidity, presence of alternate hosts.","Pest infestation/damage","None directly transmitted (bore holes predispose fruits to secondary soft rot)","Release egg parasitoid Trichogramma chilonis @ 50,000/ha; spray HaNPV @ 250 LE/ha; spray Chlorantraniliprole 18.5% SC @ 0.3ml/L (PHI: 3 days) or Emamectin Benzoate 5% SG @ 0.4g/L.","Intercrop with African Marigold (1 row marigold for every 16 rows tomato) as trap crop; install pheromone traps (Helilure @ 5/acre).","ICAR-IIHR & TNAU Agritech Portal","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Tomato","tomato","Whitefly","Bemisia tabaci","Hemipteran sucking insect","Underside of tender leaves, growing shoots","Nymphs and adults suck cell sap from leaf undersides causing chlorotic stippling and downward leaf curling; heavy honeydew excretion leads to black sooty mold.","Nymphs and adults","Warm dry conditions (28-35°C), low relative humidity (<60%).","Pest vectors and transmits plant pathogenic virus","Tomato Yellow Leaf Curl Virus (TYLCV)","Spray neem oil 10,000 ppm @ 2ml/L; spray Diafenthiuron 50% WP @ 1.25g/L or Acetamiprid 20% SP @ 0.2g/L.","Install yellow sticky traps (15-20/acre) at canopy level; grow border crop of 2 rows of maize or pearl millet as live barrier.","ICAR-IIHR Bengaluru & TNAU","https://iihr.res.in","VERIFIED","2026-09-20"
"Chilli","chilli","Chilli Thrips","Scirtothrips dorsalis","Thysanopteran sucking pest","Tender leaves, growing buds, flower petals","Leaves curl upwards (boat-shaped); crinkling of foliage with bronze coloration on undersurface; vector of Chilli Leaf Curl Virus.","Nymphs and adults","Warm dry weather with clear skies.","Pest vectors and transmits plant pathogenic virus","Chilli Leaf Curl Virus (ChiLCV)","Spray Spinetoram 11.7% SC @ 0.8ml/L or Fipronil 5% SC @ 1.5ml/L or Diafenthiuron 50% WP @ 1.25g/L.","Install blue sticky traps (15/acre); grow maize or sorghum as live windbreak border.","ICAR-IIHR & TNAU Agritech","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Chilli","chilli","Yellow Mite","Polyphagotarsonemus latus","Acari (Tarsonemid mite)","Young terminal leaves","Leaves curl downwards (inverted boat); elongation of petiole (rat-tail symptom); leaves turn deep green and brittle.","Nymphs and adults","Humid cloudy weather with warm temperatures.","Pest infestation/damage","Murda complex in chilli","Spray Spiromesifen 22.9% SC @ 1ml/L or Wettable Sulphur 80% WP @ 3g/L or Abamectin 1.9% EC @ 0.75ml/L.","Avoid excess nitrogen fertilizer; spray neem oil 10,000 ppm @ 2ml/L preventively.","ICAR-IIHR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Brinjal","brinjal","Brinjal Shoot and Fruit Borer","Leucinodes orbonalis","Lepidopteran borer","Terminal shoots, flower buds, developing fruits","Withering and drooping of terminal shoots in vegetative phase; bore holes plugged with excreta in fruits.","Larvae","High temperature and high humidity during flowering and fruiting.","Pest infestation/damage","None directly transmitted (bore holes cause secondary fruit rot)","Continuous prompt clipping of withered shoots; spray Chlorantraniliprole 18.5% SC @ 0.3ml/L or Emamectin Benzoate 5% SG @ 0.4g/L.","Install Lucinlure pheromone traps @ 12/acre; destroy wild Solanum weeds.","ICAR-IIHR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Onion","onion","Onion Thrips","Thrips tabaci","Thysanopteran rasping pest","Sheaths and leaves","Silvery white patches and sunken chlorotic spots on leaves; leaf tips turn brown, curl and wither.","Nymphs and adults","Dry warm weather; dry spells during rabi season.","Pest vectors and transmits plant pathogenic virus","Iris Yellow Spot Virus (IYSV)","Spray Fipronil 5% SC @ 1.5ml/L or Acetamiprid 20% SP @ 0.3g/L with non-ionic sticker.","Install blue or yellow sticky traps @ 15/acre; sprinkler irrigation reduces thrips count.","ICAR-DOGR Pune & TNAU","https://dogr.icar.gov.in","VERIFIED","2026-09-20"
"Okra","okra","Okra Shoot and Fruit Borer","Earias vittella","Lepidopteran borer","Shoots and pods","Terminal shoot drooping; bore holes in fruit sealed with frass; deformed, crooked fruits unsuitable for market.","Larvae (spotted bollworm)","Humid cloudy weather, overlapping summer/monsoon crops.","Pest infestation/damage","None directly transmitted","Prompt collection and destruction of infested shoots/fruits; spray Chlorantraniliprole 18.5% SC @ 0.3ml/L or Spinosad 45% SC @ 0.3ml/L.","Install Ervitlure pheromone traps @ 5/acre; rogue out alternate hosts (Malvaceae weeds).","ICAR-IIHR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Okra","okra","Whitefly","Bemisia tabaci","Hemipteran vector","Foliage","Vectors destructive Yellow Vein Mosaic Virus; causes leaf chlorosis and sooty mold.","Nymphs and adults","Warm dry spells.","Pest vectors and transmits plant pathogenic virus","Yellow Vein Mosaic Virus (YVMV)","Spray Diafenthiuron 50% WP @ 1.25g/L or Acetamiprid 20% SP @ 0.2g/L.","Use YVMV resistant varieties (Arka Anamika, Parbhani Kranti); yellow sticky traps @ 15/acre.","ICAR-IIHR Bengaluru","https://iihr.res.in","VERIFIED","2026-09-20"
"Potato","potato","Potato Tuber Moth (PTM)","Phthorimaea operculella","Lepidopteran borer","Leaves, stems, exposed tubers","Larvae mine leaves and bore into stems; tunnel into tubers in field and storage leaving black frass.","Larvae","Warm dry climate, shallow planting with exposed tubers.","Pest infestation/damage","None directly transmitted","Earthing up to prevent tuber exposure; spray Chlorantraniliprole 18.5% SC @ 0.3ml/L in field; store tubers covered with 2.5cm sand.","Install PTM pheromone traps @ 5/acre; use certified seed tubers.","ICAR-CPRI Shimla & TNAU","https://cpri.icar.gov.in","VERIFIED","2026-09-20"
"Tapioca","tapioca","Cassava Whitefly","Bemisia tabaci","Hemipteran sap feeder","Lower leaf surface","Sap draining; major vector of Cassava Mosaic Disease producing distorted, stunted mosaic leaves.","Nymphs and adults","Warm dry weather with dry soil conditions.","Pest vectors and transmits plant pathogenic virus","Cassava Mosaic Disease (CMD)","Spray Thiamethoxam 25% WG @ 0.3g/L or Dimethoate 30% EC @ 1.5ml/L; spray neem oil 10,000 ppm @ 2ml/L.","Select CMD-free healthy planting setts; install yellow sticky traps.","ICAR-CTCRI Thiruvananthapuram","https://ctcri.org","VERIFIED","2026-09-20"
"Sweet Potato","sweet_potato","Sweet Potato Weevil","Cylas formicarius","Coleopteran weevil","Vines, tubers","Grubs and adult weevils tunnel into tubers and vines; infested tubers turn dark, emit foul terpene odor, and become unpalatable.","Grubs and adult weevils","Dry season, light soils with cracks exposing tubers.","Pest infestation/damage","None directly transmitted","Dip vine cuttings in Chlorpyrifos 20% EC @ 2ml/L for 10 min before planting; spray Fipronil 5% SC @ 1.5ml/L.","Frequent earthing up to seal soil cracks; install Cylas-lure pheromone traps @ 5/acre.","ICAR-CTCRI Thiruvananthapuram & TNAU","https://ctcri.org","VERIFIED","2026-09-20"
"Drumstick","drumstick","Moringa Hairy Caterpillar","Eupterote mollifera","Lepidopteran defoliator","Foliage, trunk","Hairy caterpillars congregate in large masses on tree trunks during day and defoliate entire canopy at night.","Larvae","Monsoon and post-monsoon humid months.","Pest infestation/damage","None directly transmitted","Burn caterpillar clusters on trunk using torch; spray Chlorpyrifos 20% EC @ 2ml/L or Dichlorvos 76% EC @ 1ml/L.","Deep ploughing in tree basins to expose pupae; light traps.","TNAU Agritech Portal & ICAR","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
