crop,disease_id,canonical_name,scientific_name,causal_organism_type,primary_symptoms,severity,source_reference,verification_status
Cotton,fusarium_wilt,Fusarium Wilt,Fusarium oxysporum f. sp. vasinfectum,,Yellowing and browning along leaf margins extending inwards; wilting starts from lower leaves upwards; dark brown vascular discoloration inside peeled taproot.,Critical,UAS Dharwad & TNAU Agritech Portal,VERIFIED
Sugarcane,red_rot,Red Rot,Colletotrichum falcatum,,Third or fourth leaf from top yellows and withers; split cane reveals internal tissue reddened with characteristic white transverse bands perpendicular to stalk; alcoholic odor.,Critical,ICAR-Sugarcane Breeding Institute (SBI) Coimbatore,VERIFIED
Coconut,basal_stem_rot_/_tanjore_wilt,Basal Stem Rot / Tanjore Wilt,Ganoderma lucidum (Ganoderma applanatum),,"Exudation of dark reddish-brown gummy fluid from trunk base; basal bark decay; outer leaves yellow, droop and hang skirt-like around stem; bracket-shaped fungal fructifications (conks) emerge at trunk base.",Critical,ICAR-CPCRI Kasaragod & TNAU Coconut Portal,VERIFIED
Coconut,bud_rot,Bud Rot,Phytophthora palmivora,,"Central spindle leaf yellows, turns brown and rots; foul decaying odor from crown heart; spindle easily slips out upon gentle pull; death of palm if heart bud decays.",Critical,ICAR-CPCRI Kasaragod & KAU Agri-Infotech,VERIFIED
Maize / Corn,maydis_leaf_blight_/_southern_corn_leaf_blight,Maydis Leaf Blight / Southern Corn Leaf Blight,Bipolaris maydis (Cochliobolus heterostrophus),,Small diamond-shaped to elongated rectangular lesions delimited by leaf veins; buff to brown centers with darker reddish borders; coalescing lesions cause complete leaf blight.,Moderate to Severe,ICAR-Indian Institute of Maize Research (IIMR) & UAS Bangalore,VERIFIED
Wheat,black_/_stem_rust,Black / Stem Rust,Puccinia graminis f. sp. tritici,,"Reddish-brown elongated pustules (uredinia) that rupture epidermis exposing brown powdery spores; as plant matures, pustules turn black (telia).",Severe to Critical,UAS Dharwad Department of Plant Pathology,VERIFIED
Coffee,coffee_leaf_rust,Coffee Leaf Rust,Hemileia vastatrix,,Pale yellow circular spots on upper surface; bright orange-yellow powdery pustules of uredospores on matching lower surface; severe defoliation and dieback of twigs.,Critical,Central Coffee Research Institute (CCRI Balehonnur) / Coffee Board of India,VERIFIED
Tea,blister_blight,Blister Blight,Exobasidium vexans,,Circular pale yellow translucent spots on tender leaf blades; lesion bulges into concave blister on upper surface with corresponding white powdery convex velvet on lower surface; tender stem breakage.,Critical,UPASI Tea Research Institute (Valparai) & TNAU,VERIFIED
Rubber,abnormal_leaf_fall,Abnormal Leaf Fall,Phytophthora meadii (Phytophthora botryosa),,Water-soaked lesion on leaf petiole with a drop of coagulated latex in center; green leaflets shed while still fresh; green fruit capsules rot and shrivel on branches.,Critical,Rubber Research Institute of India (RRII Kottayam) / Rubber Board,VERIFIED
Tobacco,black_shank,Black Shank,Phytophthora nicotianae,,Blackening and necrosis of stem at soil level (shank); internal stem pith splits into disc-like plates separated by empty gaps; leaves wilt rapidly.,Severe to Critical,ICAR-Central Tobacco Research Institute (CTRI Rajahmundry),VERIFIED
Black Pepper,quick_wilt_/_foot_rot,Quick Wilt / Foot Rot,Phytophthora capsici,,Dark blackish-brown lesion at collar region near ground; rapid foliar wilting without preliminary chlorosis; complete defoliation and vine collapse within 2 weeks.,Critical,ICAR-Indian Institute of Spices Research (IISR Kozhikode),VERIFIED
Cardamom,azhukal_disease_/_capsule_rot,Azhukal Disease / Capsule Rot,Phytophthora nicotianae var. nicotianae (Phytophthora meadii),,Water-soaked lesions on young capsules which turn dull brownish-black and rot with foul odor; infected capsules shed prematurely from panicle.,Critical,Indian Cardamom Research Institute (ICRI Myladumpara) & ICAR-IISR,VERIFIED
Turmeric,leaf_spot,Leaf Spot,Colletotrichum curcumae,,Elliptical to oblong brown spots with greyish-white centers and dark brown borders; yellow halo around spots; spots coalesce causing extensive drying of foliage.,Moderate to Severe,TNAU Agritech Portal & PJTSAU Crop Manual,VERIFIED
Arecanut / Betel Nut,fruit_rot_/_koleroga_/_mahali,Fruit Rot / Koleroga / Mahali,Phytophthora meadii,,"Water-soaked dark green lesions near nut calyx; affected nuts rot, lose luster and shed in enormous quantities forming a green/brown carpet on ground; white mycelial mass coats shed nuts.",Critical,ICAR-CPCRI Regional Station Vittal & UAS Dharwad,VERIFIED
Cashew,anthracnose_and_inflorescence_blight,Anthracnose and Inflorescence Blight,Colletotrichum gloeosporioides,,Brown water-soaked necrotic lesions on floral panicles; drying and blackening of panicles (blight); black scabby lesions on tender cashew apples and developing nuts; gummy exudate on twigs.,Severe,ICAR-Directorate of Cashew Research (DCR Puttur) & TNAU,VERIFIED
