crop,disease_name,scientific_name,common_local_name,affected_plant_part,symptoms,cause_type,pathogen_organism,environmental_conditions,season,geographical_relevance,south_indian_states,severity,prevention,management,source,source_url,source_type,verification_status
Cotton,Fusarium Wilt,Fusarium oxysporum f. sp. vasinfectum,"Soragu roga (Kannada), Vadal noi (Tamil), Vadi tegulu (Telugu)","Roots, vascular xylem system, lower leaves",Yellowing and browning along leaf margins extending inwards; wilting starts from lower leaves upwards; dark brown vascular discoloration inside peeled taproot.,Fungal,Fusarium oxysporum f. sp. vasinfectum,"Heavy black clay soils (Vertisols), soil temperature 25-28°C, root injury caused by nematodes.",Vegetative and flowering stages,"Deep black soils of Dharwad, Belagavi, Raichur, Adilabad, Warangal","Karnataka, Telangana, Andhra Pradesh, Tamil Nadu",Critical,Deep summer ploughing; soil solarization; seed treatment with Trichoderma viride @ 4-6g/kg seed; crop rotation with sorghum.,Spot drenching around early-wilted plants with Carbendazim 50% WP @ 1g/L; apply balanced potash to build plant cell wall thickness.,UAS Dharwad & TNAU Agritech Portal,https://uasd.edu,Agricultural University Package of Practices,VERIFIED
Sugarcane,Red Rot,Colletotrichum falcatum,"Sev azhukal (Tamil), Kempu kora (Kannada), Erra kulla tegulu (Telugu)","Internal stalk pith, midrib of leaves",Third or fourth leaf from top yellows and withers; split cane reveals internal tissue reddened with characteristic white transverse bands perpendicular to stalk; alcoholic odor.,Fungal,Colletotrichum falcatum,"Waterlogging, ill-drained alkaline soils, high humidity (>85%), monsoon water flow through fields.",Mid-season to maturity (Kharif/Rabi),"Endemic in coastal Tamil Nadu (Cuddalore), Andhra Pradesh, Belagavi and Mandya","Tamil Nadu, Andhra Pradesh, Karnataka, Telangana",Critical,Plant disease-free seed setts from certified nurseries; treat setts with Carbendazim 50% WP @ 1g/L (hot water or sett soak); avoid ratoon cropping in infected fields.,No chemical cure inside standing stalks once vascular rot is established; uproot and burn infected clumps; immediately drain standing water.,ICAR-Sugarcane Breeding Institute (SBI) Coimbatore,https://sugarcane.icar.gov.in,ICAR National Institute Research Guide,VERIFIED
Coconut,Basal Stem Rot / Tanjore Wilt,Ganoderma lucidum (Ganoderma applanatum),"Thanjavur vadal (Tamil), Anabe roga (Kannada), Ganoderma roga (Telugu)","Base of palm trunk (0 to 1.5m), root system","Exudation of dark reddish-brown gummy fluid from trunk base; basal bark decay; outer leaves yellow, droop and hang skirt-like around stem; bracket-shaped fungal fructifications (conks) emerge at trunk base.",Fungal,Ganoderma lucidum,"Light sandy and coastal red soils, prolonged drought followed by heavy rainfall, neglected palms.",Visible year-round; severe after monsoon rains,"Thanjavur, Tiruvarur, Nagapattinam (TN), coastal Karnataka, coastal AP","Tamil Nadu, Karnataka, Andhra Pradesh, Kerala, Puducherry",Critical,Isolate infected palm with 1m wide by 50cm deep isolation trenches; apply neem cake @ 5kg/palm/year enriched with Trichoderma harzianum @ 50g/palm.,Root feeding with Hexaconazole 5% SC (2ml in 100ml water) or Aureofungin-sol (2g) + Copper Sulphate (1g) in 100ml water at quarterly intervals.,ICAR-CPCRI Kasaragod & TNAU Coconut Portal,https://cpcri.gov.in,ICAR National Institute Research Guide,VERIFIED
Coconut,Bud Rot,Phytophthora palmivora,"Kuruth azhukal (Tamil/Malayalam), Kodu kora (Kannada)",Central spindle leaf and apical growing bud,"Central spindle leaf yellows, turns brown and rots; foul decaying odor from crown heart; spindle easily slips out upon gentle pull; death of palm if heart bud decays.",Oomycete / Fungal,Phytophthora palmivora,"Southwest monsoon season with continuous rain, cool breeze, relative humidity >95%, temperature 22-26°C.",Southwest monsoon (June to September),"High rainfall regions of Kerala, Coastal Karnataka, Nilgiris slopes","Kerala, Karnataka, Tamil Nadu",Critical,Prophylactic placement of perforated sachets containing Mancozeb (5g) or placement of Copper Oxychloride paste around crown before onset of monsoon.,"In early stages, cut away rotten tissues, clean crown and apply 10% Bordeaux paste; pour Bordeaux mixture 1% or Copper Oxychloride @ 3g/L into crown.",ICAR-CPCRI Kasaragod & KAU Agri-Infotech,https://cpcri.gov.in,ICAR National Institute Research Guide,VERIFIED
Maize / Corn,Maydis Leaf Blight / Southern Corn Leaf Blight,Bipolaris maydis (Cochliobolus heterostrophus),"Elai karukal (Tamil), Ele kollai (Kannada), Aaku macha (Telugu)","Leaves, leaf sheaths, ear husks",Small diamond-shaped to elongated rectangular lesions delimited by leaf veins; buff to brown centers with darker reddish borders; coalescing lesions cause complete leaf blight.,Fungal,Bipolaris maydis,"Warm, humid conditions (25-32°C) with persistent cloudiness and rain showers.",Kharif and early Rabi,"Intensively grown maize tracts of Haveri, Davangere, Karimnagar, Perambalur","Karnataka, Telangana, Andhra Pradesh, Tamil Nadu",Moderate to Severe,Grow resistant hybrid varieties; destroy previous crop stubbles; balanced nitrogen and potassium application.,Foliar spray of Mancozeb 75% WP @ 2.5g/L or Azoxystrobin 18.2% + Difenoconazole 11.4% SC @ 1ml/L at first disease onset.,ICAR-Indian Institute of Maize Research (IIMR) & UAS Bangalore,https://iimr.icar.gov.in,ICAR National Institute Research Guide,VERIFIED
Wheat,Black / Stem Rust,Puccinia graminis f. sp. tritici,"Kunkuma roga / Thuppa roga (Kannada), Kaatu noi (Tamil)","Stems, leaf sheaths, glumes","Reddish-brown elongated pustules (uredinia) that rupture epidermis exposing brown powdery spores; as plant matures, pustules turn black (telia).",Fungal,Puccinia graminis,Mild winter temperatures (20-25°C) followed by warm sunny days with morning dew.,Rabi (Winter season: December to February),"Northern Karnataka plateau (Dharwad, Belagavi, Vijayapura) wheat tracts","Karnataka, Northern Telangana",Severe to Critical,"Sow rust-resistant durum/bread wheat cultivars (e.g., UAS 304, DWR 162); avoid late sowing.",Foliar spray of Propiconazole 25% EC @ 1ml/L or Tebuconazole 25% WG @ 1g/L at appearance of first pustules.,UAS Dharwad Department of Plant Pathology,https://uasd.edu,Agricultural University Research Guide,VERIFIED
Coffee,Coffee Leaf Rust,Hemileia vastatrix,"Kaapi thuruve (Kannada), Kaappi thuru (Tamil/Malayalam)",Under-surface of mature coffee leaves,Pale yellow circular spots on upper surface; bright orange-yellow powdery pustules of uredospores on matching lower surface; severe defoliation and dieback of twigs.,Fungal,Hemileia vastatrix,"Optimum temperature 21-25°C, free water droplet on leaf for 4-6 hours, shaded humid environment.",Post-monsoon (August to November),"Western Ghats coffee zones: Kodagu, Chikmagalur, Hassan (Karnataka), Wayanad (Kerala), Nilgiris, Yercaud (TN)","Karnataka, Kerala, Tamil Nadu",Critical,"Maintain two-tier shade trees to prevent direct sunlight and dew pooling; plant rust-tolerant selections (S.795, Chandragiri).",Pre-monsoon (May/June) and post-monsoon (September/October) spray with 0.5% Bordeaux mixture or Triadimefon 25% WP @ 0.5g/L.,Central Coffee Research Institute (CCRI Balehonnur) / Coffee Board of India,https://coffeeboard.gov.in,Statutory Commodity Board Research Guide,VERIFIED
Tea,Blister Blight,Exobasidium vexans,"Koppala noi (Tamil/Malayalam), Ele koppala (Kannada)","Young tender leaves, succulent shoots, harvestable flushes",Circular pale yellow translucent spots on tender leaf blades; lesion bulges into concave blister on upper surface with corresponding white powdery convex velvet on lower surface; tender stem breakage.,Fungal,Exobasidium vexans,"Monsoon misty weather, daily sunshine <3.5 hours, relative humidity >85%, temperatures 18-24°C.",Southwest and Northeast Monsoon (June to December),"High elevation tea estates in Nilgiris, Anamallais (Valparai), Munnar, Wayanad","Tamil Nadu, Kerala",Critical,Regulate shade by lopping branches prior to monsoon; maintain strict plucking rounds (7-10 days).,Foliar spray of Copper Oxychloride 50% WP @ 2g/L + Hexaconazole 5% SC @ 1ml/L at 7-day plucking intervals during continuous mist.,UPASI Tea Research Institute (Valparai) & TNAU,https://upasi.org,Tea Research Institute Benchmark,VERIFIED
Rubber,Abnormal Leaf Fall,Phytophthora meadii (Phytophthora botryosa),"Akala elai kottal (Tamil), Elapozhichil (Malayalam)","Mature green leaves, petiole, green pods",Water-soaked lesion on leaf petiole with a drop of coagulated latex in center; green leaflets shed while still fresh; green fruit capsules rot and shrivel on branches.,Oomycete / Fungal,Phytophthora meadii,"Heavy southwest monsoon with continuous cloud cover, temperature 22-26°C, relative humidity near 100%.",Southwest monsoon (June to August),"Rubber tracts of Kottayam, Pathanamthitta, Ernakulam, Kozhikode, Kanyakumari","Kerala, Tamil Nadu",Critical,Aerial spraying or ground spraying using high-pressure sprayers with 1% Bordeaux mixture before monsoon onset (May).,Prophylactic spray of Copper Oxychloride in oil (oil-dispersible paste) using Micron sprayer before monsoon rains commence.,Rubber Research Institute of India (RRII Kottayam) / Rubber Board,https://rubberboard.gov.in,Statutory Commodity Board Research Guide,VERIFIED
Tobacco,Black Shank,Phytophthora nicotianae,"Black shank, Kari roga (Kannada), Karuppu thandu noi (Tamil)","Basal stem, taproot, lower leaves",Blackening and necrosis of stem at soil level (shank); internal stem pith splits into disc-like plates separated by empty gaps; leaves wilt rapidly.,Oomycete / Fungal,Phytophthora nicotianae,"Waterlogged fields, warm wet soils (28-32°C), poorly drained soils.",Kharif and early Rabi,"Mysuru-Hunsur FCV tobacco belt, Prakasam, Guntur, East/West Godavari","Karnataka, Andhra Pradesh",Severe to Critical,Crop rotation with non-host crops like paddy or maize; use disease-tolerant varieties; avoid deep cultivation that damages root collar.,Soil drenching around base with Metalaxyl 8% + Mancozeb 64% WP @ 2g/L or Bordeaux mixture 1% at transplanting.,ICAR-Central Tobacco Research Institute (CTRI Rajahmundry),https://ctri.icar.gov.in,ICAR National Institute Research Guide,VERIFIED
Black Pepper,Quick Wilt / Foot Rot,Phytophthora capsici,"Dhutha koodu (Malayalam), Vegavagi vadal (Tamil), Bega soragu roga (Kannada)","Collar region, root system, runner shoots, foliage",Dark blackish-brown lesion at collar region near ground; rapid foliar wilting without preliminary chlorosis; complete defoliation and vine collapse within 2 weeks.,Oomycete / Fungal,Phytophthora capsici,"Continuous heavy rainfall during southwest monsoon, soil saturation, temperature 22-28°C.",Southwest monsoon (June to August),"Wayanad, Idukki, Kannur (Kerala), Kodagu, Hassan, Uttara Kannada (Karnataka)","Kerala, Karnataka, Tamil Nadu",Critical,Phytosanitary trenching between vine rows; application of Trichoderma harzianum @ 50g/vine with FYM and neem cake; maintain drainage.,Foliar spray with Potassium Phosphonate (0.3%) and soil drenching with 1% Bordeaux mixture or Metalaxyl-Mancozeb @ 2g/L before and during monsoon.,ICAR-Indian Institute of Spices Research (IISR Kozhikode),https://spices.res.in,ICAR National Institute Research Guide,VERIFIED
Cardamom,Azhukal Disease / Capsule Rot,Phytophthora nicotianae var. nicotianae (Phytophthora meadii),"Azhukal noi (Tamil/Malayalam), Korakolu (Kannada)","Panicles, tender capsules, leaves",Water-soaked lesions on young capsules which turn dull brownish-black and rot with foul odor; infected capsules shed prematurely from panicle.,Oomycete / Fungal,Phytophthora nicotianae var. nicotianae,"Monsoon rains, high humidity (>95%), mist, wet forest canopy shade.",Southwest and Northeast Monsoon (June to November),"Cardamom Hills (Idukki), Wayanad, Kodagu, Hassan cardamom plantations","Kerala, Karnataka, Tamil Nadu",Critical,Remove dead mulch and trash around clumps prior to monsoon; thin excessive shade trees; spray biocontrol agents (Trichoderma viride).,Foliar and panicle spray with 1% Bordeaux mixture or Potassium Phosphonate @ 3ml/L; drench base of clump.,Indian Cardamom Research Institute (ICRI Myladumpara) & ICAR-IISR,https://spices.res.in,Spices Board Research Guide,VERIFIED
Turmeric,Leaf Spot,Colletotrichum curcumae,"Ilai pulli noi (Tamil), Ele machhe roga (Kannada), Aaku macha (Telugu)","Leaf blades, petiole",Elliptical to oblong brown spots with greyish-white centers and dark brown borders; yellow halo around spots; spots coalesce causing extensive drying of foliage.,Fungal,Colletotrichum curcumae,"Warm and humid conditions (26-30°C, RH >80%) with morning dew.",Post-monsoon (August to November),"Erode, Salem, Dharmapuri (TN), Nizamabad (Telangana), Chamarajanagar (Karnataka)","Tamil Nadu, Telangana, Andhra Pradesh, Karnataka",Moderate to Severe,Treat seed rhizomes with Mancozeb @ 3g/L for 30 minutes before planting; practice crop rotation.,Foliar spray with Mancozeb 75% WP @ 2.5g/L or Carbendazim 12% + Mancozeb 63% WP @ 2g/L or Azoxystrobin 23% SC @ 1ml/L.,TNAU Agritech Portal & PJTSAU Crop Manual,https://agritech.tnau.ac.in,Agricultural University Package of Practices,VERIFIED
Arecanut / Betel Nut,Fruit Rot / Koleroga / Mahali,Phytophthora meadii,"Koleroga (Kannada), Mahali (Tamil/Malayalam)","Tender and developing nuts, stalks, crown","Water-soaked dark green lesions near nut calyx; affected nuts rot, lose luster and shed in enormous quantities forming a green/brown carpet on ground; white mycelial mass coats shed nuts.",Oomycete / Fungal,Phytophthora meadii,"Continuous heavy torrential southwest monsoon, low temperatures (20-24°C), relative humidity >95%.",Southwest monsoon (June to September),"Malnad and Coastal Karnataka (Shivamogga, Uttara/Dakshina Kannada, Chikkamagaluru), Kasaragod (Kerala)","Karnataka, Kerala, Tamil Nadu",Critical,Tie protective polythene bags or areca frond covers (kotte) over nut bunches before monsoon onset; collect and burn fallen rotten nuts.,"Prophylactic spraying of 1% Bordeaux mixture with rosin soap resin adhesive onto nut bunches twice: first in late May/early June before monsoon, second 40-45 days later.",ICAR-CPCRI Regional Station Vittal & UAS Dharwad,https://cpcri.gov.in,ICAR National Institute Research Guide,VERIFIED
Cashew,Anthracnose and Inflorescence Blight,Colletotrichum gloeosporioides,"Inflorescence blight, Poongothu azhukal (Tamil), Hoogombe kora (Kannada)","Tender flushes, floral panicles, young nuts, cashew apples",Brown water-soaked necrotic lesions on floral panicles; drying and blackening of panicles (blight); black scabby lesions on tender cashew apples and developing nuts; gummy exudate on twigs.,Fungal,Colletotrichum gloeosporioides,"Heavy morning dew, relative humidity >85%, cloudy days during flushing and flowering.",Winter / Spring flowering season (December to March),"Coastal Karnataka, Kerala, coastal Tamil Nadu (Cuddalore, Ariyalur), coastal AP","Karnataka, Kerala, Tamil Nadu, Andhra Pradesh",Severe,Prune criss-cross and dead branches post-harvest to allow sunlight penetration; remove dried floral panicles.,Spray Bordeaux mixture 1% or Copper Oxychloride 50% WP @ 2.5g/L or Carbendazim 50% WP @ 1g/L at flushing and panicle emergence stages.,ICAR-Directorate of Cashew Research (DCR Puttur) & TNAU,https://cashew.icar.gov.in,ICAR National Institute Research Guide,VERIFIED
