crop_id,crop_name,category,frontend_selector_available,dataset_status,local_onnx_model_available,online_ai_supported,offline_mode_ready
bitter_gourd,Bitter Gourd,vegetable,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
bottle_gourd,Bottle Gourd,vegetable,YES,INSUFFICIENT_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
ridge_gourd,Ridge Gourd,vegetable,YES,INSUFFICIENT_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
beans,Beans,vegetable,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
cabbage,Cabbage,vegetable,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
cauliflower,Cauliflower,vegetable,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
carrot,Carrot,vegetable,YES,INSUFFICIENT_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
beetroot,Beetroot,vegetable,YES,INSUFFICIENT_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
banana,Banana,fruit,YES,TRAINED_AND_EXPORTED,YES,YES (Gemini Flash Lite + n8n),YES (ONNX Runtime)
mango,Mango,fruit,YES,READY_FOR_TRAINING,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
papaya,Papaya,fruit,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
pomegranate,Pomegranate,fruit,YES,READY_FOR_TRAINING,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
guava,Guava,fruit,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
sapota,Sapota,fruit,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
pineapple,Pineapple,fruit,YES,INSUFFICIENT_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
grapes,Grapes,fruit,YES,READY_FOR_TRAINING,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
jackfruit,Jackfruit,fruit,YES,INSUFFICIENT_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
watermelon,Watermelon,fruit,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
muskmelon,Muskmelon,fruit,YES,INSUFFICIENT_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
acid_lime,Acid Lime,fruit,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
coconut,Coconut,plantation,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
arecanut,Arecanut,plantation,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
cashew,Cashew,plantation,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
coffee,Coffee,plantation,YES,READY_FOR_TRAINING,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
tea,Tea,plantation,YES,READY_FOR_TRAINING,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
rubber,Rubber,plantation,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
cocoa,Cocoa,plantation,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
oil_palm,Oil Palm,plantation,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
palmyrah,Palmyrah,plantation,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
black_pepper,Black Pepper,spice,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
cardamom,Cardamom,spice,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
turmeric,Turmeric,spice,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
ginger,Ginger,spice,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
clove,Clove,spice,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
coriander,Coriander,spice,YES,INSUFFICIENT_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
cumin,Cumin,spice,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
fenugreek,Fenugreek,spice,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
betel_vine,Betel Vine,other,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
tamarind,Tamarind,other,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
