crop,state,disease,scientific_name,cause,symptoms,severity,season,environment,management,prevention,source,verification_status
Tomato,Andhra Pradesh,Tomato Leaf Curl Virus,Tomato leaf curl New Delhi virus (ToLCNDV),Viral (Begomovirus) (Tomato leaf curl virus (vectored by Bemisia tabaci whitefly)),Upward curling and puckering of leaf margins; reduction in leaflet size; interveinal chlorosis; severe stunting and bushy appearance with flower dropping.,Severe,Summer and early Kharif,Warm and dry weather favoring high whitefly reproduction and dispersal.,Control vector with systemic foliar sprays: Diafenthiuron 50% WP @ 1g/L or Acetamiprid 20% SP @ 0.2g/L; rogue out infected plants within first 30 days.,"Plant virus-tolerant hybrids (e.g., Arka Rakshak, Arka Samrat); install yellow sticky traps (15/acre); cover nursery with 40-mesh insect net.",ICAR-IIHR & ANGRAU Vyavasaya Panchangam,VERIFIED
Tomato,Telangana,Tomato Leaf Curl Virus,Tomato leaf curl New Delhi virus (ToLCNDV),Viral (Begomovirus) (Tomato leaf curl virus (vectored by Bemisia tabaci whitefly)),Upward curling and puckering of leaf margins; reduction in leaflet size; interveinal chlorosis; severe stunting and bushy appearance with flower dropping.,Severe,Summer and early Kharif,Warm and dry weather favoring high whitefly reproduction and dispersal.,Control vector with systemic foliar sprays: Diafenthiuron 50% WP @ 1g/L or Acetamiprid 20% SP @ 0.2g/L; rogue out infected plants within first 30 days.,"Plant virus-tolerant hybrids (e.g., Arka Rakshak, Arka Samrat); install yellow sticky traps (15/acre); cover nursery with 40-mesh insect net.",ICAR-IIHR & ANGRAU Vyavasaya Panchangam,VERIFIED
Tomato,Tamil Nadu,Tomato Leaf Curl Virus,Tomato leaf curl New Delhi virus (ToLCNDV),Viral (Begomovirus) (Tomato leaf curl virus (vectored by Bemisia tabaci whitefly)),Upward curling and puckering of leaf margins; reduction in leaflet size; interveinal chlorosis; severe stunting and bushy appearance with flower dropping.,Severe,Summer and early Kharif,Warm and dry weather favoring high whitefly reproduction and dispersal.,Control vector with systemic foliar sprays: Diafenthiuron 50% WP @ 1g/L or Acetamiprid 20% SP @ 0.2g/L; rogue out infected plants within first 30 days.,"Plant virus-tolerant hybrids (e.g., Arka Rakshak, Arka Samrat); install yellow sticky traps (15/acre); cover nursery with 40-mesh insect net.",ICAR-IIHR & ANGRAU Vyavasaya Panchangam,VERIFIED
Paddy / Rice,Tamil Nadu,Blast (Leaf and Neck Blast),Magnaporthe oryzae (Pyricularia oryzae),Fungal (Magnaporthe oryzae),Spindle-shaped elliptical eye spots with grey/whitish centers and dark brown margins; blackened rotten panicle neck causing chaffy grain heads (neck blast).,Critical,"Kuruvai/Samba in TN, Kharif/Rabi in AP/Telangana/Karnataka, Virippu/Mundakan in Kerala","High relative humidity (>90%), night temperatures 20-24°C, prolonged dew, excessive nitrogen fertilizer.",Spray Tricyclazole 75% WP @ 0.6g/L or Isoprothiolane 40% EC @ 1.5ml/L or Kasugamycin 3% SL @ 2.5ml/L at tillering and boot leaf stages.,Avoid split excessive application of nitrogen; treat seeds with Carbendazim 50% WP @ 2g/kg or Tricyclazole 75% WP @ 1.5g/kg.,ICAR-IIRR Hyderabad & TNAU Agritech Portal,VERIFIED
Paddy / Rice,Andhra Pradesh,Blast (Leaf and Neck Blast),Magnaporthe oryzae (Pyricularia oryzae),Fungal (Magnaporthe oryzae),Spindle-shaped elliptical eye spots with grey/whitish centers and dark brown margins; blackened rotten panicle neck causing chaffy grain heads (neck blast).,Critical,"Kuruvai/Samba in TN, Kharif/Rabi in AP/Telangana/Karnataka, Virippu/Mundakan in Kerala","High relative humidity (>90%), night temperatures 20-24°C, prolonged dew, excessive nitrogen fertilizer.",Spray Tricyclazole 75% WP @ 0.6g/L or Isoprothiolane 40% EC @ 1.5ml/L or Kasugamycin 3% SL @ 2.5ml/L at tillering and boot leaf stages.,Avoid split excessive application of nitrogen; treat seeds with Carbendazim 50% WP @ 2g/kg or Tricyclazole 75% WP @ 1.5g/kg.,ICAR-IIRR Hyderabad & TNAU Agritech Portal,VERIFIED
Paddy / Rice,Telangana,Blast (Leaf and Neck Blast),Magnaporthe oryzae (Pyricularia oryzae),Fungal (Magnaporthe oryzae),Spindle-shaped elliptical eye spots with grey/whitish centers and dark brown margins; blackened rotten panicle neck causing chaffy grain heads (neck blast).,Critical,"Kuruvai/Samba in TN, Kharif/Rabi in AP/Telangana/Karnataka, Virippu/Mundakan in Kerala","High relative humidity (>90%), night temperatures 20-24°C, prolonged dew, excessive nitrogen fertilizer.",Spray Tricyclazole 75% WP @ 0.6g/L or Isoprothiolane 40% EC @ 1.5ml/L or Kasugamycin 3% SL @ 2.5ml/L at tillering and boot leaf stages.,Avoid split excessive application of nitrogen; treat seeds with Carbendazim 50% WP @ 2g/kg or Tricyclazole 75% WP @ 1.5g/kg.,ICAR-IIRR Hyderabad & TNAU Agritech Portal,VERIFIED
Paddy / Rice,Karnataka,Blast (Leaf and Neck Blast),Magnaporthe oryzae (Pyricularia oryzae),Fungal (Magnaporthe oryzae),Spindle-shaped elliptical eye spots with grey/whitish centers and dark brown margins; blackened rotten panicle neck causing chaffy grain heads (neck blast).,Critical,"Kuruvai/Samba in TN, Kharif/Rabi in AP/Telangana/Karnataka, Virippu/Mundakan in Kerala","High relative humidity (>90%), night temperatures 20-24°C, prolonged dew, excessive nitrogen fertilizer.",Spray Tricyclazole 75% WP @ 0.6g/L or Isoprothiolane 40% EC @ 1.5ml/L or Kasugamycin 3% SL @ 2.5ml/L at tillering and boot leaf stages.,Avoid split excessive application of nitrogen; treat seeds with Carbendazim 50% WP @ 2g/kg or Tricyclazole 75% WP @ 1.5g/kg.,ICAR-IIRR Hyderabad & TNAU Agritech Portal,VERIFIED
Paddy / Rice,Kerala,Blast (Leaf and Neck Blast),Magnaporthe oryzae (Pyricularia oryzae),Fungal (Magnaporthe oryzae),Spindle-shaped elliptical eye spots with grey/whitish centers and dark brown margins; blackened rotten panicle neck causing chaffy grain heads (neck blast).,Critical,"Kuruvai/Samba in TN, Kharif/Rabi in AP/Telangana/Karnataka, Virippu/Mundakan in Kerala","High relative humidity (>90%), night temperatures 20-24°C, prolonged dew, excessive nitrogen fertilizer.",Spray Tricyclazole 75% WP @ 0.6g/L or Isoprothiolane 40% EC @ 1.5ml/L or Kasugamycin 3% SL @ 2.5ml/L at tillering and boot leaf stages.,Avoid split excessive application of nitrogen; treat seeds with Carbendazim 50% WP @ 2g/kg or Tricyclazole 75% WP @ 1.5g/kg.,ICAR-IIRR Hyderabad & TNAU Agritech Portal,VERIFIED
Paddy / Rice,Puducherry,Blast (Leaf and Neck Blast),Magnaporthe oryzae (Pyricularia oryzae),Fungal (Magnaporthe oryzae),Spindle-shaped elliptical eye spots with grey/whitish centers and dark brown margins; blackened rotten panicle neck causing chaffy grain heads (neck blast).,Critical,"Kuruvai/Samba in TN, Kharif/Rabi in AP/Telangana/Karnataka, Virippu/Mundakan in Kerala","High relative humidity (>90%), night temperatures 20-24°C, prolonged dew, excessive nitrogen fertilizer.",Spray Tricyclazole 75% WP @ 0.6g/L or Isoprothiolane 40% EC @ 1.5ml/L or Kasugamycin 3% SL @ 2.5ml/L at tillering and boot leaf stages.,Avoid split excessive application of nitrogen; treat seeds with Carbendazim 50% WP @ 2g/kg or Tricyclazole 75% WP @ 1.5g/kg.,ICAR-IIRR Hyderabad & TNAU Agritech Portal,VERIFIED
Paddy / Rice,Tamil Nadu,Bacterial Leaf Blight (BLB),Xanthomonas oryzae pv. oryzae,Bacterial (Xanthomonas oryzae pv. oryzae),Water-soaked stripes starting at leaf tips and margins undulating downwards; turns straw-yellow to dirty white; bacterial oozes visible as tiny golden beads on dew mornings; kresek phase in seedlings.,Severe,Late Kharif / Northeast Monsoon season,"Heavy rainfall, severe winds during cyclonic depressions, temperature 25-34°C, standing floodwater.",Spray Copper Oxychloride 50% WP @ 2.5g/L mixed with Streptocycline @ 0.1g/L; temporarily suspend nitrogen top-dressing.,"Use resistant varieties (e.g., Improved Samba Mahsuri, ADT 43); avoid clipping of seedling tips during transplanting; drain standing water.",ICAR-IIRR & ANGRAU Vyavasaya Panchangam,VERIFIED
Paddy / Rice,Andhra Pradesh,Bacterial Leaf Blight (BLB),Xanthomonas oryzae pv. oryzae,Bacterial (Xanthomonas oryzae pv. oryzae),Water-soaked stripes starting at leaf tips and margins undulating downwards; turns straw-yellow to dirty white; bacterial oozes visible as tiny golden beads on dew mornings; kresek phase in seedlings.,Severe,Late Kharif / Northeast Monsoon season,"Heavy rainfall, severe winds during cyclonic depressions, temperature 25-34°C, standing floodwater.",Spray Copper Oxychloride 50% WP @ 2.5g/L mixed with Streptocycline @ 0.1g/L; temporarily suspend nitrogen top-dressing.,"Use resistant varieties (e.g., Improved Samba Mahsuri, ADT 43); avoid clipping of seedling tips during transplanting; drain standing water.",ICAR-IIRR & ANGRAU Vyavasaya Panchangam,VERIFIED
Paddy / Rice,Kerala,Bacterial Leaf Blight (BLB),Xanthomonas oryzae pv. oryzae,Bacterial (Xanthomonas oryzae pv. oryzae),Water-soaked stripes starting at leaf tips and margins undulating downwards; turns straw-yellow to dirty white; bacterial oozes visible as tiny golden beads on dew mornings; kresek phase in seedlings.,Severe,Late Kharif / Northeast Monsoon season,"Heavy rainfall, severe winds during cyclonic depressions, temperature 25-34°C, standing floodwater.",Spray Copper Oxychloride 50% WP @ 2.5g/L mixed with Streptocycline @ 0.1g/L; temporarily suspend nitrogen top-dressing.,"Use resistant varieties (e.g., Improved Samba Mahsuri, ADT 43); avoid clipping of seedling tips during transplanting; drain standing water.",ICAR-IIRR & ANGRAU Vyavasaya Panchangam,VERIFIED
Paddy / Rice,Karnataka,Bacterial Leaf Blight (BLB),Xanthomonas oryzae pv. oryzae,Bacterial (Xanthomonas oryzae pv. oryzae),Water-soaked stripes starting at leaf tips and margins undulating downwards; turns straw-yellow to dirty white; bacterial oozes visible as tiny golden beads on dew mornings; kresek phase in seedlings.,Severe,Late Kharif / Northeast Monsoon season,"Heavy rainfall, severe winds during cyclonic depressions, temperature 25-34°C, standing floodwater.",Spray Copper Oxychloride 50% WP @ 2.5g/L mixed with Streptocycline @ 0.1g/L; temporarily suspend nitrogen top-dressing.,"Use resistant varieties (e.g., Improved Samba Mahsuri, ADT 43); avoid clipping of seedling tips during transplanting; drain standing water.",ICAR-IIRR & ANGRAU Vyavasaya Panchangam,VERIFIED
Paddy / Rice,Puducherry,Bacterial Leaf Blight (BLB),Xanthomonas oryzae pv. oryzae,Bacterial (Xanthomonas oryzae pv. oryzae),Water-soaked stripes starting at leaf tips and margins undulating downwards; turns straw-yellow to dirty white; bacterial oozes visible as tiny golden beads on dew mornings; kresek phase in seedlings.,Severe,Late Kharif / Northeast Monsoon season,"Heavy rainfall, severe winds during cyclonic depressions, temperature 25-34°C, standing floodwater.",Spray Copper Oxychloride 50% WP @ 2.5g/L mixed with Streptocycline @ 0.1g/L; temporarily suspend nitrogen top-dressing.,"Use resistant varieties (e.g., Improved Samba Mahsuri, ADT 43); avoid clipping of seedling tips during transplanting; drain standing water.",ICAR-IIRR & ANGRAU Vyavasaya Panchangam,VERIFIED
Paddy / Rice,Andhra Pradesh,Sheath Blight,Rhizoctonia solani,Fungal (Rhizoctonia solani),Greenish-grey oval or irregular water-soaked spots on leaf sheaths; lesions enlarge with bleached grey centers and dark reddish-brown borders; sclerotial bodies develop on lesions.,Severe,Tillering to panicle initiation in all seasons,"Dense crop canopy, high relative humidity (85-100%), temperature 28-32°C, high doses of nitrogen.",Foliar spray directed towards base of tillers: Hexaconazole 5% SC @ 2ml/L or Validamycin 3% L @ 2ml/L or Thifluzamide 24% SC @ 0.75ml/L.,Maintain wider plant spacing (20x15 cm); apply balanced potash nutrition; destroy stubbles after harvest.,TNAU Agritech Portal & KAU Package of Practices,VERIFIED
Paddy / Rice,Telangana,Sheath Blight,Rhizoctonia solani,Fungal (Rhizoctonia solani),Greenish-grey oval or irregular water-soaked spots on leaf sheaths; lesions enlarge with bleached grey centers and dark reddish-brown borders; sclerotial bodies develop on lesions.,Severe,Tillering to panicle initiation in all seasons,"Dense crop canopy, high relative humidity (85-100%), temperature 28-32°C, high doses of nitrogen.",Foliar spray directed towards base of tillers: Hexaconazole 5% SC @ 2ml/L or Validamycin 3% L @ 2ml/L or Thifluzamide 24% SC @ 0.75ml/L.,Maintain wider plant spacing (20x15 cm); apply balanced potash nutrition; destroy stubbles after harvest.,TNAU Agritech Portal & KAU Package of Practices,VERIFIED
Paddy / Rice,Tamil Nadu,Sheath Blight,Rhizoctonia solani,Fungal (Rhizoctonia solani),Greenish-grey oval or irregular water-soaked spots on leaf sheaths; lesions enlarge with bleached grey centers and dark reddish-brown borders; sclerotial bodies develop on lesions.,Severe,Tillering to panicle initiation in all seasons,"Dense crop canopy, high relative humidity (85-100%), temperature 28-32°C, high doses of nitrogen.",Foliar spray directed towards base of tillers: Hexaconazole 5% SC @ 2ml/L or Validamycin 3% L @ 2ml/L or Thifluzamide 24% SC @ 0.75ml/L.,Maintain wider plant spacing (20x15 cm); apply balanced potash nutrition; destroy stubbles after harvest.,TNAU Agritech Portal & KAU Package of Practices,VERIFIED
Paddy / Rice,Karnataka,Sheath Blight,Rhizoctonia solani,Fungal (Rhizoctonia solani),Greenish-grey oval or irregular water-soaked spots on leaf sheaths; lesions enlarge with bleached grey centers and dark reddish-brown borders; sclerotial bodies develop on lesions.,Severe,Tillering to panicle initiation in all seasons,"Dense crop canopy, high relative humidity (85-100%), temperature 28-32°C, high doses of nitrogen.",Foliar spray directed towards base of tillers: Hexaconazole 5% SC @ 2ml/L or Validamycin 3% L @ 2ml/L or Thifluzamide 24% SC @ 0.75ml/L.,Maintain wider plant spacing (20x15 cm); apply balanced potash nutrition; destroy stubbles after harvest.,TNAU Agritech Portal & KAU Package of Practices,VERIFIED
Paddy / Rice,Kerala,Sheath Blight,Rhizoctonia solani,Fungal (Rhizoctonia solani),Greenish-grey oval or irregular water-soaked spots on leaf sheaths; lesions enlarge with bleached grey centers and dark reddish-brown borders; sclerotial bodies develop on lesions.,Severe,Tillering to panicle initiation in all seasons,"Dense crop canopy, high relative humidity (85-100%), temperature 28-32°C, high doses of nitrogen.",Foliar spray directed towards base of tillers: Hexaconazole 5% SC @ 2ml/L or Validamycin 3% L @ 2ml/L or Thifluzamide 24% SC @ 0.75ml/L.,Maintain wider plant spacing (20x15 cm); apply balanced potash nutrition; destroy stubbles after harvest.,TNAU Agritech Portal & KAU Package of Practices,VERIFIED
Chilli,Andhra Pradesh,Anthracnose / Fruit Rot & Dieback,Colletotrichum capsici (Colletotrichum truncatum),Fungal (Colletotrichum capsici),"Sunken, circular to oval lesions with black concentric rings of fungal acervuli on ripe fruits; tips of branches wither, dry and turn ash grey downwards (dieback).",Severe to Critical,Rabi and late Kharif,"Warm humid conditions (28-32°C, RH >80%) with intermittent rain showers during fruit ripening.",Spray Mancozeb 75% WP @ 2.5g/L or Azoxystrobin 23% SC @ 1ml/L or Difenoconazole 25% EC @ 1ml/L at 10-15 day intervals.,Collect and burn mummified fruits; treat seed with Thiram @ 2g/kg or Trichoderma @ 6g/kg; avoid furrow water splash.,"ANGRAU Regional Agricultural Research Station (Lam, Guntur)",VERIFIED
Chilli,Telangana,Anthracnose / Fruit Rot & Dieback,Colletotrichum capsici (Colletotrichum truncatum),Fungal (Colletotrichum capsici),"Sunken, circular to oval lesions with black concentric rings of fungal acervuli on ripe fruits; tips of branches wither, dry and turn ash grey downwards (dieback).",Severe to Critical,Rabi and late Kharif,"Warm humid conditions (28-32°C, RH >80%) with intermittent rain showers during fruit ripening.",Spray Mancozeb 75% WP @ 2.5g/L or Azoxystrobin 23% SC @ 1ml/L or Difenoconazole 25% EC @ 1ml/L at 10-15 day intervals.,Collect and burn mummified fruits; treat seed with Thiram @ 2g/kg or Trichoderma @ 6g/kg; avoid furrow water splash.,"ANGRAU Regional Agricultural Research Station (Lam, Guntur)",VERIFIED
Chilli,Karnataka,Anthracnose / Fruit Rot & Dieback,Colletotrichum capsici (Colletotrichum truncatum),Fungal (Colletotrichum capsici),"Sunken, circular to oval lesions with black concentric rings of fungal acervuli on ripe fruits; tips of branches wither, dry and turn ash grey downwards (dieback).",Severe to Critical,Rabi and late Kharif,"Warm humid conditions (28-32°C, RH >80%) with intermittent rain showers during fruit ripening.",Spray Mancozeb 75% WP @ 2.5g/L or Azoxystrobin 23% SC @ 1ml/L or Difenoconazole 25% EC @ 1ml/L at 10-15 day intervals.,Collect and burn mummified fruits; treat seed with Thiram @ 2g/kg or Trichoderma @ 6g/kg; avoid furrow water splash.,"ANGRAU Regional Agricultural Research Station (Lam, Guntur)",VERIFIED
Chilli,Tamil Nadu,Anthracnose / Fruit Rot & Dieback,Colletotrichum capsici (Colletotrichum truncatum),Fungal (Colletotrichum capsici),"Sunken, circular to oval lesions with black concentric rings of fungal acervuli on ripe fruits; tips of branches wither, dry and turn ash grey downwards (dieback).",Severe to Critical,Rabi and late Kharif,"Warm humid conditions (28-32°C, RH >80%) with intermittent rain showers during fruit ripening.",Spray Mancozeb 75% WP @ 2.5g/L or Azoxystrobin 23% SC @ 1ml/L or Difenoconazole 25% EC @ 1ml/L at 10-15 day intervals.,Collect and burn mummified fruits; treat seed with Thiram @ 2g/kg or Trichoderma @ 6g/kg; avoid furrow water splash.,"ANGRAU Regional Agricultural Research Station (Lam, Guntur)",VERIFIED
Chilli,Andhra Pradesh,Chilli Leaf Curl Complex,Chilli leaf curl virus (ChiLCV) & Thrips/Mite complex,Viral vector / Arthropod complex (ChiLCV (vectored by Whitefly) + Scirtothrips dorsalis + Polyphagotarsonemus latus),"Upward curling and canoeing of leaves (thrips/virus) or downward cupping with inverted boat shape (yellow mite); leaves turn leathery, brittle and crinkled.",Severe,Post-transplanting throughout vegetative growth,Prolonged dry spells with warm daytime temperatures (30-36°C) favoring sucking pest multiplication.,Spray Diafenthiuron 50% WP @ 1.25g/L or Fipronil 5% SC @ 2ml/L for thrips; Fenpyroximate 5% EC @ 1.5ml/L for mites; Acetamiprid 20% SP @ 0.2g/L for whitefly.,Erect barrier crops (3 rows of maize/sorghum around plot); install blue sticky traps (thrips) and yellow traps (whitefly) @ 15/acre each.,UAS Dharwad & TNAU Crop Protection,VERIFIED
Chilli,Telangana,Chilli Leaf Curl Complex,Chilli leaf curl virus (ChiLCV) & Thrips/Mite complex,Viral vector / Arthropod complex (ChiLCV (vectored by Whitefly) + Scirtothrips dorsalis + Polyphagotarsonemus latus),"Upward curling and canoeing of leaves (thrips/virus) or downward cupping with inverted boat shape (yellow mite); leaves turn leathery, brittle and crinkled.",Severe,Post-transplanting throughout vegetative growth,Prolonged dry spells with warm daytime temperatures (30-36°C) favoring sucking pest multiplication.,Spray Diafenthiuron 50% WP @ 1.25g/L or Fipronil 5% SC @ 2ml/L for thrips; Fenpyroximate 5% EC @ 1.5ml/L for mites; Acetamiprid 20% SP @ 0.2g/L for whitefly.,Erect barrier crops (3 rows of maize/sorghum around plot); install blue sticky traps (thrips) and yellow traps (whitefly) @ 15/acre each.,UAS Dharwad & TNAU Crop Protection,VERIFIED
