crop,disease_or_pest,disease_type,alternate_names,scientific_name_if_verified,datasets_containing_it,image_count_if_known,healthy_class_available,South_India_relevance,source_references,confidence_in_mapping
Chilli,Cercospora Leaf Spot,fungal,Frog eye spot,Cercospora capsici,"DS_CHILLI_01, DS_CHILLI_02",1580,Yes,HIGH,IIHR Bengaluru,HIGH
Chilli,Powdery Mildew,fungal,White powdery growth,Leveillula taurica,DS_CHILLI_01,1350,Yes,HIGH,ANGRAU / TNAU Agritech,HIGH
Turmeric,Leaf Blotch,fungal,Taphrina blotch,Taphrina maculans,"DS_TURMERIC_01, DS_TURMERIC_02",1200,Yes,HIGH,ICAR-IISR Kozhikode; TNAU Erode,VERY_HIGH
Turmeric,Leaf Spot,fungal,Colletotrichum spot,Colletotrichum curcumae,DS_TURMERIC_01,950,Yes,HIGH,ICAR-IISR Kozhikode,VERY_HIGH
Turmeric,Rhizome Rot,oomycete / fungal,Soft rot,Pythium aphanidermatum,DS_TURMERIC_02,820,Yes,HIGH,Top turmeric disease in Nizamabad & Erode (IISR),VERY_HIGH
Coconut,Bud Rot,oomycete,Heart rot,Phytophthora palmivora,DS_COCONUT_01,1150,Yes,HIGH,"ICAR-Central Plantation Crops Research Institute (CPCRI), Kasaragod, Kerala",VERY_HIGH
Coconut,Grey Leaf Spot / Blight,fungal,Pestalotiopsis leaf blight,Pestalotiopsis palmarum,"DS_COCONUT_01, DS_COCONUT_02",1650,Yes,HIGH,ICAR-CPCRI Kasaragod,VERY_HIGH
Coconut,Stem Bleeding,fungal,Ceratocystis bleeding disease,Ceratocystis paradoxa,DS_COCONUT_01,1050,Yes,HIGH,ICAR-CPCRI Kasaragod,HIGH
Coconut,Root (Wilt) Disease / Yellowing,phytoplasma,"Kerala root wilt, flaccidity",Candidatus Phytoplasma,DS_COCONUT_02,680,Yes,HIGH,Endemic in southern Kerala (CPCRI Kayangulam),HIGH
Arecanut,Koleroga / Mahali / Fruit Rot,oomycete,Mahali roga,Phytophthora meadii,DS_ARECA_01,520,Yes,HIGH,"CPCRI Regional Station Vittal, Karnataka; CAMPCO",VERY_HIGH
Arecanut,Yellow Leaf Disease (YLD),phytoplasma,Hole roga,Candidatus Phytoplasma,DS_ARECA_01,480,Yes,HIGH,"Severe in Sringeri, Koppa, Thirthahalli (Karnataka)",VERY_HIGH
Arecanut,Stem Bleeding / Cracking,fungal / physiological,Thielaviopsis stem bleeding,Thielaviopsis paradoxa,DS_ARECA_01,450,Yes,HIGH,CPCRI Vittal,HIGH
Arecanut,Bud Borer Damage,insect pest,Inflorescence caterpillar,UNKNOWN,DS_ARECA_01,390,Yes,HIGH,Flagged for verification; associated with Tirathaba mundella,MEDIUM
Cashew,Anthracnose,fungal,"Dieback, shoot blight",Colletotrichum gloeosporioides,DS_CASHEW_01,650,Yes,HIGH,"Directorate of Cashew Research (DCR), Puttur, Karnataka",VERY_HIGH
Cashew,Gummosis,fungal,Lasiodiplodia gummosis,Lasiodiplodia theobromae,DS_CASHEW_01,580,Yes,HIGH,DCR Puttur,HIGH
Cashew,Leaf Miner,insect pest,Cashew leaf miner blister,Acrocercops syngramma,DS_CASHEW_01,620,Yes,HIGH,DCR Puttur bulletins,HIGH
Cashew,Red Rust,algal,Algal leaf spot,Cephaleuros virescens,DS_CASHEW_01,590,Yes,HIGH,DCR Puttur,HIGH
Paddy / Rice,Bacterial Leaf Blight,bacterial,"BLB, Kresek",Xanthomonas oryzae pv. oryzae,DS_RICE_01,1150,Yes,HIGH,"ICAR-Indian Institute of Rice Research (IIRR), Hyderabad",VERY_HIGH
Paddy / Rice,Leaf Blast,fungal,Pyricularia blast,Magnaporthe oryzae,DS_RICE_01,1300,Yes,HIGH,IIRR Hyderabad,VERY_HIGH
Paddy / Rice,Brown Spot,fungal,Helminthosporium spot,Bipolaris oryzae,DS_RICE_01,1250,Yes,HIGH,IIRR Hyderabad,VERY_HIGH
Paddy / Rice,Tungro Disease,viral complex,Rice tungro virus,Rice tungro bacilliform virus (RTBV) + RTSV,DS_RICE_01,950,Yes,HIGH,IIRR Hyderabad,VERY_HIGH
Paddy / Rice,Rice Hispa Damage,insect pest,Spiny beetle scrape,Dicladispa armigera,DS_RICE_01,890,Yes,HIGH,TNAU Agritech,HIGH
