dataset_id,dataset_name,source_platform,declared_license,license_verified,commercial_use_allowed,research_use_allowed,attribution_required,download_access_type,legal_compliance_notes
DS_PEPPER_01 (Vignesh),Black Pepper Leaf Blight Dataset,Kaggle,CC BY-SA 4.0,Yes,Yes (ShareAlike),Yes,Yes,Kaggle download,ShareAlike requires derivative dataset sharing if re-distributed.
DS_PEPPER_02 (Anirudh),Black Pepper Leaf Disease Mini-Dataset,Kaggle / GitHub,CC0: Public Domain,Yes,Yes,Yes,No,Kaggle download,Public domain. Small size limits utility to validation/test set.
DS_CARDAMOM_01 (KCID),Kerala Cardamom Intelligence Dataset,Kaggle,CC BY 4.0,Yes,Yes,Yes,Yes,Kaggle download,"Open research dataset collected in Idukki, Kerala."
DS_CARDAMOM_02 (Zenodo),Cardamom-Dataset-2021,GitHub / Zenodo,MIT License,Yes,Yes,Yes,Yes,Direct GitHub download,MIT license provides full commercial and academic rights.
DS_CHILLI_01 (Pradeep),Chilli Leaf Disease Image Dataset (8.8K),Mendeley Data,CC BY 4.0,Yes,Yes,Yes,Yes (Cite Pradeep et al. 2022),Direct Open Access,Gold standard open access dataset. No legal barrier to commercial deployment.
DS_CHILLI_02 (Bangladesh),Chili Leaf Disease Dataset (1.5K),Mendeley Data,CC BY 4.0,Yes,Yes,Yes,Yes,Direct Open Access,Fully verified CC BY 4.0.
DS_TURMERIC_01 (Ravi),Image Dataset for Turmeric Plant Leaf Disease,Mendeley Data,CC BY 4.0,Yes,Yes,Yes,Yes (Cite Ravi et al. 2023),Direct Open Access,Fully compliant for SIH application.
DS_TURMERIC_02 (Mendeley 2024),Turmeric Plant Disease Dataset (5.6K),Mendeley Data,CC BY 4.0,Yes,Yes,Yes,Yes,Direct Open Access,Fully compliant. Contains rare underground rhizome rot classes.
DS_COCONUT_01 (Mendeley 5.8K),Mendeley Coconut Tree Disease Dataset,Mendeley Data,CC BY 4.0,Yes,Yes,Yes,Yes,Direct Open Access,Fully compliant. Download from original Mendeley repository.
DS_COCONUT_02 (Prasun Roy),Kaggle Coconut Leaf Disease Dataset,Kaggle,CC BY-NC 4.0 (Non-Commercial),Yes,No,Yes,Yes,Kaggle download,"RESTRICTION: CC BY-NC prohibits commercial sale. Perfectly legal for non-profit student competition (SIH) and academic research. If Krishi Marga monetizes, replace with DS_COCONUT_01."
DS_ARECA_01 (Arecanut-AI),Arecanut Plant Disease Dataset (3.8K),Kaggle,CC BY 4.0,Yes,Yes,Yes,Yes (Cite Hegde et al. 2023),Kaggle download,Fully compliant open license.
DS_CASHEW_01 (CCMT),CCMT Crop Pest and Disease - Cashew,Mendeley Data,CC BY 4.0,Yes,Yes,Yes,Yes (Cite Asunka et al. 2023),Direct Open Access,Fully compliant open science license.
DS_RICE_01 (Paddy Doctor),Paddy Doctor (10.4K images),PaddyDoc / GitHub / Kaggle,CC BY-NC-SA 4.0,Yes,No (Non-Commercial ShareAlike),Yes,Yes (Cite P. M. et al. CVPRW 2022),Direct Open Access from website,"RESTRICTION: Non-Commercial. Permissible for SIH evaluation, research, and non-profit public extension."
DS_TOMATO_01 (PlantVillage),PlantVillage Tomato,GitHub / Penn State,CC0: Public Domain,Yes,Yes,Yes,No (Public Domain dedication),Direct Open Access,Unrestricted public domain.
DS_TOMATO_02 (PlantDoc),PlantDoc In-the-Wild Dataset,GitHub / IIT Delhi,CC BY 4.0,Yes,Yes,Yes,Yes (Cite Singh et al. 2020),Direct GitHub download,Fully compliant open research dataset.
