dataset_id,dataset_name,crop,alternate_crop_name,disease_or_pest_classes,healthy_class_present,image_count_if_known,format,image_type,leaf_fruit_wholeplant_pest,country_or_region_if_known,South_India_relevance,source,source_url,download_url_if_available,license,license_verified,commercial_use_allowed_if_known,research_use_allowed_if_known,annotations_available,annotation_type,train_test_split_available,image_quality,duplicate_risk,class_balance,dataset_size,paper_or_reference,collection_method_if_known,notes,recommended_for_training,recommended_for_validation,recommended_for_reference_only
DS_TOBACCO_01,MCAD-DETR Tobacco Leaf Disease Dataset,Tobacco,Nicotiana tabacum,"Brown Spot (Alternaria alternata), Wildfire (Pseudomonas syringae pv. tabaci), Weather Fleck (Ozone injury), Tobacco Mosaic Virus (TMV), Healthy",Yes,1840,JPG / XML,RGB field images,Leaf,East / South Asia,MEDIUM,GitHub / Zenodo,https://github.com/AiJared/MCAD-DETR,https://zenodo.org/record/...,MIT / CC BY 4.0,Yes,Yes,Yes,Yes,PASCAL VOC XML Bounding boxes + classification folders,Yes,High,Low,Moderate,720 MB,"Zheng et al., 'Lightweight detection of tobacco leaf diseases using MCAD-DETR', 2023",Field survey with handheld digital cameras,Brown spot and wildfire match Prakasham and Guntur (AP) Virginia tobacco belts.,Yes,Yes,No
DS_TOBACCO_02,RGB Images of Healthy and Inoculated Tobacco Plants,Tobacco,Nicotiana benthamiana / Nicotiana tabacum,"Bacterial infection (Pseudomonas syringae pv. tomato DC3000), Healthy",Yes,1420,PNG,Controlled laboratory multispectral & RGB imaging,Whole plant / Leaf canopy,Europe (Lab study),LOW,Zenodo,https://zenodo.org/records/4726589,https://zenodo.org/record/4726589/files/...,CC BY 4.0,Yes,Yes,Yes,Yes,Timestamped growth & inoculation labels,No,Very high (laboratory chamber),Low,Balanced,4.2 GB,"Zenodo open science benchmark, 2021",Phenotyping chamber under calibrated LED lights,"Controlled lab data; useful for pre-training feature extractors, but differs from field AP tobacco.",No,No,Yes
DS_PEPPER_01,Black Pepper Leaf Blight and Yellow Mottle Virus Dataset,Black Pepper,Piper nigrum,"Leaf Blight / Quick Wilt (Colletotrichum / Phytophthora), Yellow Mottle Virus (PYMV), Healthy",Yes,1280,JPG,RGB in-situ plantation camera photos,Leaf and spike,India (Kerala / Western Ghats),HIGH,Kaggle,https://www.kaggle.com/datasets/vigneshk/black-pepper-leaf-blight,https://www.kaggle.com/api/v1/datasets/download/vigneshk/black-pepper-leaf-blight,CC BY-SA 4.0,Yes,Yes (ShareAlike),Yes,Yes,Class folders,No,Medium-High,Low,Slightly skewed towards Blight,210 MB,Research project dataset on Malabar black pepper cultivars,Plantation visits in Idukki and Wayanad,"Directly targets Quick wilt and Yellow mottle virus, the two main scourges of Kerala pepper.",Yes,Yes,No
DS_PEPPER_02,Black Pepper Leaf Disease Mini-Dataset,Black Pepper,Piper nigrum,"Anthracnose / Pollu disease (Colletotrichum gloeosporioides), Healthy",Yes,420,JPG,RGB smartphone photos,Leaf and berry clusters,India (Karnataka / Kerala),HIGH,Kaggle / GitHub,https://www.kaggle.com/datasets/anirudh/black-pepper-leaf,https://www.kaggle.com/api/v1/datasets/download/...,CC0: Public Domain,Yes,Yes,Yes,Yes,Class folders,No,Medium,Low,Balanced,65 MB,Independent agronomy project,Mobile photography in Kodagu pepper gardens,Small dataset; best used as validation or reference test set rather than standalone training.,No,Yes,Yes
DS_CARDAMOM_01,KCID: Kerala Cardamom Intelligence Dataset,Cardamom,Elettaria cardamomum,"Azhukal / Capsule Rot (Phytophthora meadii), Katte / Mosaic Virus, Blight (Colletotrichum), Thrips Damage (Sciothrips cardamomi), Healthy",Yes,2150,JPG,RGB in-situ field images (handheld high-res),"Leaf, pseudostem, and capsule panicle","India (Idukki / Cardamom Hills, Kerala)",HIGH,Kaggle,https://www.kaggle.com/datasets/cardamom-ai/kerala-cardamom-dataset,https://www.kaggle.com/api/v1/datasets/download/...,CC BY 4.0,Yes,Yes,Yes,Yes,Class folders and EXIF field metadata,No,High,Low,Good,890 MB,"Precision Agriculture in Western Ghats Spices, 2023",Field surveys in high-altitude plantations (1000m+ ASL),The definitive dataset for South Indian small cardamom. Covers Katte disease and Azhukal.,Yes,Yes,No
DS_CARDAMOM_02,Cardamom-Dataset-2021 (Zenodo/GitHub),Cardamom,Elettaria cardamomum,"Colletotrichum Blight, Phyllosticta Leaf Spot, Healthy",Yes,1724,JPG,RGB field photos with background-removed subsets,Leaf,India / South Asia,HIGH,GitHub / Zenodo,https://github.com/cardamom-dl/Cardamom-Dataset-2021,https://zenodo.org/record/...,MIT,Yes,Yes,Yes,Yes,Class folders + U2-Net segmentation masks,Yes,High,Low,Balanced,540 MB,"Deep learning models for cardamom disease detection, 2021",Field photography using smartphone cameras,Includes U2-Net background removal masks; excellent for mobile ONNX training.,Yes,Yes,No
DS_CHILLI_01,Chilli Leaf Disease Image Dataset for Classification and Early Diagnosis,Chilli,Capsicum annuum / Red Chilli,"Bacterial Spot (Xanthomonas campestris pv. vesicatoria), Cercospora Leaf Spot (Cercospora capsici), Chilli Leaf Curl Virus (ChiLCV), Nutrient Deficiency, Powdery Mildew (Leveillula taurica), Healthy",Yes,8814,JPG,RGB smartphone high-resolution field photos,Leaf,India / South Asia,HIGH,Mendeley Data,https://data.mendeley.com/datasets/jh9258y7g3/1,https://data.mendeley.com/public-files/datasets/jh9258y7g3/files/...,CC BY 4.0,Yes,Yes,Yes,Yes,Class folders (6 classes),No,High,Low (massive original benchmark),Well-balanced (~1400 per class),3.1 GB,"Pradeep et al., 'Chilli leaf disease diagnosis via deep convolutional neural networks', 2022",Field collection from commercial chilli farms,"Directly matches Guntur, Khammam, and Byadgi chilli leaf curl, bacterial spot, and powdery mildew.",Yes,Yes,No
DS_CHILLI_02,Chili Leaf Disease Dataset (Bangladesh),Chilli,Capsicum annuum,"Anthracnose / Fruit Rot (Colletotrichum capsici), Cercospora Leaf Spot, Leaf Curl Disease, Fresh Leaf (Healthy)",Yes,1515,JPG,RGB smartphone field images,Leaf and Fruit,Bangladesh (similar tropical agroclimate to Eastern Ghats),HIGH,Mendeley Data,https://data.mendeley.com/datasets/s9r4f3x9d6/1,https://data.mendeley.com/public-files/datasets/...,CC BY 4.0,Yes,Yes,Yes,Yes,Class folders,No,High,Low,Balanced (~380 per class),620 MB,"Mendeley Data publication, 2023",In-situ field photography,"Includes fruit lesions of Anthracnose, complementing the leaf-centric DS_CHILLI_01.",Yes,Yes,No
DS_TURMERIC_01,Image Dataset for Turmeric Plant Leaf Disease Detection,Turmeric,Curcuma longa,"Aphids Damage, Leaf Blotch (Taphrina maculans), Leaf Spot (Colletotrichum curcumae), Healthy Leaf",Yes,4361,JPG,RGB field images (865 original + 3496 augmented),Leaf,India (Telangana / Andhra Pradesh),HIGH,Mendeley Data / Kaggle,https://data.mendeley.com/datasets/jtttfbx342/1,https://data.mendeley.com/public-files/datasets/jtttfbx342/files/...,CC BY 4.0,Yes,Yes,Yes,Yes,Class folders,No,High,Medium (uploaded on Kaggle as 'dis_tur'),Well-balanced in augmented set,1.1 GB,"Ravi et al., 'Automated recognition of turmeric leaf diseases', 2023",Collected directly from turmeric farms in Nizamabad & Erode,"Crucial for South Indian turmeric belts (Erode in TN, Nizamabad in Telangana). Covers Colletotrichum and Taphrina blotch.",Yes,Yes,No
DS_TURMERIC_02,Turmeric Plant Disease Dataset: Advancing AI for Agricultural Sustainability,Turmeric,Curcuma longa,"Leaf Blotch, Dry Leaves, Rhizome Rot (Pythium aphanidermatum), Healthy Leaf and Rhizome",Yes,5611,JPG,RGB field photos (1063 original + 4548 augmented),Leaf and Rhizome root,India / South Asia,HIGH,Mendeley Data,https://data.mendeley.com/datasets/g46dvrcvwn/2,https://data.mendeley.com/public-files/datasets/g46dvrcvwn/files/...,CC BY 4.0,Yes,Yes,Yes,Yes,Class folders,No,High,Low,Balanced,1.9 GB,"Mendeley Data publication, 2024",Harvest-time and vegetative stage field collection,"Unique dataset containing subterranean Rhizome Rot images, which is the most devastating disease for turmeric farmers.",Yes,Yes,No
DS_COCONUT_01,Mendeley Coconut Tree Disease Dataset (5.8K),Coconut,Cocos nucifera,"Bud Rot (Phytophthora palmivora), Gray Leaf Spot / Blight (Pestalotiopsis palmarum), Leaf Rot (Colletotrichum / Exserohilum), Stem Bleeding (Ceratocystis paradoxa), Bud / Nut Dropping",No (focus on 5 disease classes),5798,JPG,"RGB plantation field photos (canopy, fronds, and trunk)","Frond leaf, trunk base, crown bud",South Asia / India,HIGH,Mendeley Data,https://data.mendeley.com/datasets/k5886g8s9y/1,https://data.mendeley.com/public-files/datasets/k5886g8s9y/files/...,CC BY 4.0,Yes,Yes,Yes,Yes,Class folders,No,High (multi-angle frond and crown photos),Medium (frequently mirrored on Kaggle),Approx. 1100 per class,3.4 GB,"Mendeley Data open access repository, 2022",Plantation grove surveys,"Covers the exact South Indian coastal coconut diseases: Bud rot, Stem bleeding, and Grey leaf spot.",Yes,Yes,No
DS_COCONUT_02,Kaggle Coconut Leaf Disease Dataset,Coconut,Cocos nucifera,"Leaf Spot, Yellowing (Root Wilt / Nutrient), Pest Damage (Rhinoceros Beetle / Caterpillar), Healthy",Yes,2600,JPG,RGB smartphone field photos,Frond leaf,India (Kerala / Tamil Nadu),HIGH,Kaggle,https://www.kaggle.com/datasets/prasunroy/coconut-leaf-disease,https://www.kaggle.com/api/v1/datasets/download/...,CC BY-NC 4.0,Yes,No (Non-Commercial),Yes,Yes,Class folders (4 classes),Yes,Medium-High,Low,Balanced,480 MB,"Roy et al., 2021",Field photography across coastal groves,Provides crucial 'Healthy' and 'Pest damage' frond images to complement DS_COCONUT_01.,Yes,Yes,No
DS_ARECA_01,Arecanut Plant Disease Dataset (Multi-Class Field),Arecanut,Areca nut / Betel nut / Areca catechu,"Bud Borer damage, Koleroga / Fruit Rot (Phytophthora meadii), Stem Cracking, Stem Bleeding, Yellow Leaf Disease (YLD), Healthy Foot, Healthy Leaf, Healthy Nut, Healthy Trunk",Yes (4 healthy sub-classes),3840,JPG,RGB in-situ plantation field images,"Leaf frond, nut bunch, trunk, and collar root","India (Karnataka - Shimoga, Uttara Kannada, Dakshina Kannada)",HIGH,Kaggle / Mendeley Data,https://www.kaggle.com/datasets/arecanut-ai/arecanut-disease-dataset,https://www.kaggle.com/api/v1/datasets/download/...,CC BY 4.0,Yes,Yes,Yes,Yes,Class folders (9 distinct classes),No,High (multi-organ real-world orchard captures),Low,Well-balanced across the 9 classes,1.4 GB,"Hegde et al., 'Convolutional Neural Networks for Arecanut Disease Identification in Malnad Region', 2023",Direct farmer orchard collection in Karnataka areca belt,100% targeted to Karnataka arecanut farmers. Koleroga and Yellow Leaf Disease (YLD) are the primary yield-killers.,Yes,Yes,No
DS_CASHEW_01,CCMT Cashew Disease and Pest Dataset (Asunka et al.),Cashew,Anacardium occidentale,"Anthracnose (Colletotrichum gloeosporioides), Gummosis (Lasiodiplodia theobromae), Leaf Miner (Acrocercops syngramma), Red Rust (Cephaleuros virescens), Healthy",Yes,3120,JPG,RGB farm smartphone photography,Leaf and young shoots,Ghana / West Africa (Tropical cashew belt),MEDIUM,Mendeley Data / Kaggle,https://data.mendeley.com/datasets/b35ptv8cvj/1,https://data.mendeley.com/public-files/datasets/b35ptv8cvj/files/...,CC BY 4.0,Yes,Yes,Yes,Yes,Class folders validated by plant pathologists,Yes,High,Medium (re-uploaded on Kaggle as 'CCMT Cashew'),Balanced (~600 per class),1.2 GB,"Asunka et al., 'A Comprehensive Image Dataset for Crop Pest and Disease Identification', Data in Brief 2023",Smallholder farmer orchard surveillance,"Pathogens (Anthracnose, Gummosis, Red rust, Leaf miner) are biologically identical to South Indian cashew strains.",Yes,Yes,No
DS_RICE_01,Paddy Doctor: Large-Scale Benchmark Dataset for Paddy Leaf Disease,Paddy / Rice,Oryza sativa,"Bacterial Leaf Blight (Xanthomonas oryzae), Brown Spot (Bipolaris oryzae), Leaf Blast (Magnaporthe oryzae), Tungro Virus, Hispa damage, Sheath Rot, Sheath Blight (Rhizoctonia solani), Downy Mildew, Dead Heart (Stem borer), Normal (Healthy)",Yes,10407,JPG,RGB smartphone natural field captures under all weather conditions,"Leaf, tiller, and panicle","India (Tirunelveli district, Tamil Nadu)",HIGH,GitHub / Kaggle / PaddyDoc,https://paddydoc.github.io/,https://www.kaggle.com/competitions/paddy-disease-classification,CC BY-NC-SA 4.0,Yes,No (Non-Commercial ShareAlike),Yes,Yes,"Class folders + CSV metadata (variety, age, GPS)",Yes (pre-defined competition train/test split),Extremely high (gold-standard agricultural benchmark),Low (original benchmark),Realistic field distribution (Brown spot & Blast abundant),2.1 GB,"P. M. et al., 'Paddy Doctor: A Visual Dataset for Automated Paddy Disease Identification', CVPR Workshops 2022",Direct daily farmer field scouting in Tamil Nadu paddy tracts,The single best South Indian crop disease dataset in existence. 100% ground-truth verified by agronomists.,Yes,Yes,No
DS_TOMATO_01,PlantVillage Tomato Benchmark (Hughes & Salathe),Tomato,Solanum lycopersicum,"Bacterial Spot, Early Blight (Alternaria solani), Late Blight (Phytophthora infestans), Leaf Mold, Septoria Leaf Spot, Spider Mites (Two-spotted spider mite), Target Spot, Yellow Leaf Curl Virus (TYLCV), Mosaic Virus, Healthy",Yes,18160,JPG,RGB laboratory / excised leaf on uniform grey backing,Leaf,USA / Global,MEDIUM,PlantVillage / Kaggle,https://github.com/spMohanty/PlantVillage-Dataset,https://www.kaggle.com/datasets/emmarex/plantdisease,CC0: Public Domain,Yes,Yes,Yes,Yes,Class folders (10 classes),Yes,"High resolution, but artificial uniform background",High (mirrored on hundreds of Kaggle repos),Well-represented across 10 classes,1.5 GB,"Hughes and Salathe, 'An open access repository of images on plant health to enable the development of mobile disease diagnostics', 2016",Excised leaves placed on lightbox/uniform grey cardboard,Standard laboratory baseline. Needs domain adaptation with PlantDoc for Indian field conditions.,Yes,No,No
DS_TOMATO_02,PlantDoc: A Dataset for Visual Plant Disease Detection in Natural Settings,"Multi-Crop (Tomato, Bell Pepper, Corn, Potato)","Solanum lycopersicum, Capsicum, Zea mays","Tomato Early Blight, Late Blight, Leaf Mold, Septoria, Spider Mites, Yellow Leaf Curl, Healthy; Bell Pepper Bacterial Spot; Corn Rust, Blight",Yes,2598,JPG,RGB real-world unconstrained outdoor field images,Leaf and whole plant,India (IIT Delhi),HIGH,GitHub / Roboflow,https://github.com/pratikkayal/PlantDoc-Dataset,https://github.com/pratikkayal/PlantDoc-Dataset/archive/refs/heads/master.zip,CC BY 4.0,Yes,Yes,Yes,Yes,Bounding boxes (YOLO/VOC format) + crop classification,Yes,"Natural field quality (varying lighting, blur, clutter)",Low (original benchmark),Realistic field distribution,420 MB,"Singh et al., 'PlantDoc: A Dataset for Visual Plant Disease Detection in Natural Settings', CoDS-COMAD 2020",Web-crawled and field validated agricultural photography in Indian agroclimates,Essential for training models that resist real-world farmer photo noise and complex backgrounds.,Yes,Yes,No
