dataset_id,dataset_name,crop,dataset_source,source_url,source_type,country,region,image_count,class_count,classes,healthy_class_available,disease_classes,pest_classes,nutrient_classes,image_type,field_or_lab,license,license_verified,commercial_use_allowed,redistribution_allowed,download_available,quality,duplicate_risk,train_val_test_available,notes
DS_CASSAVA_01,Cassava Leaf Disease Dataset,Tapioca / Cassava,Makerere University AI Lab / Kaggle,https://www.kaggle.com/c/cassava-leaf-disease-classification,International Competition Benchmark,Uganda / East Africa,Tropical tuber zone (similar to Kerala/Salem TN),21397,5,"cassava_bacterial_blight, cassava_brown_streak_disease, cassava_green_mottle, cassava_mosaic_disease, healthy",YES,"cassava_bacterial_blight, cassava_brown_streak_disease, cassava_green_mottle, cassava_mosaic_disease",None,None,Mobile Phone Camera JPEG,Field (In-the-wild farmer photos),Research & Educational Open Use,YES,YES,YES,YES,Exemplary real farmer smartphone photos,Low,YES,Cassava Mosaic Virus is devastating in Kerala and Tamil Nadu (Salem sago industry).
DS_MANGO_01,MangoLeafBD: Mango Leaf Disease Dataset,Mango,Mendeley Data / Data in Brief,https://data.mendeley.com/datasets/hxsnvd23rf/1,Peer-Reviewed Open Dataset,Bangladesh / India,South Asian orchard belt,4000,8,"anthracnose, bacterial_canker, cutting_weevil, die_back, gall_midge, healthy, powdery_mildew, sooty_mould",YES,"anthracnose, bacterial_canker, die_back, powdery_mildew, sooty_mould","cutting_weevil, gall_midge",None,DSLR & Smartphone RGB,Field,CC BY 4.0,YES,YES,YES,YES,High quality sharp leaf images,Low,YES,"Covers both fungal diseases and severe pests (gall midge, shoot cutting weevil)."
DS_POTATO_01,PlantVillage Potato Disease Dataset,Potato,Penn State University / Kaggle,https://www.kaggle.com/datasets/arjuntejaswi/plant-village,Academic Open Repository,International,Global benchmark (applies to Hassan & Nilgiris potatoes),2152,3,"early_blight, late_blight, healthy",YES,"early_blight, late_blight",None,None,RGB Photographic JPEG,Lab,CC0: Public Domain,YES,YES,YES,YES,"High resolution, well-demarcated blight rings",Moderate,YES,Direct relevance to potato late blight epidemics in Ooty and Kodaikanal.
DS_GRAPE_01,PlantVillage Grape Leaf Disease Dataset,Grapes,Penn State University / Kaggle,https://www.kaggle.com/datasets/emmarex/plantdisease,Academic Open Repository,International,Global benchmark (applies to Bengaluru Blue & Anab-e-Shahi vineyards),4062,4,"black_rot, esca_black_measles, leaf_blight_isariopsis, healthy",YES,"black_rot, esca_black_measles, leaf_blight_isariopsis",None,None,RGB Photographic JPEG,Lab,CC0: Public Domain,YES,YES,YES,YES,High resolution standardized benchmark,Moderate,YES,Black rot and leaf blight are prominent in Doddaballapur & Cumbum valley.
DS_BRINJAL_01,Brinjal/Eggplant Disease and Pest Dataset,Brinjal,Mendeley Data / Kaggle,https://data.mendeley.com/datasets/5ywyv298w9/1,Academic Open Repository,India / Bangladesh,South India vegetable clusters,1250,5,"bacterial_wilt, cercospora_leaf_spot, little_leaf_phytoplasma, tobacco_mosaic_virus, healthy",YES,"bacterial_wilt, cercospora_leaf_spot, little_leaf_phytoplasma, tobacco_mosaic_virus",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Real farmer field leaves,Low,YES,Little Leaf disease (vector: leafhopper) is devastating in Karnataka/Tamil Nadu.
DS_WHEAT_01,Large-scale Wheat Disease Dataset,Wheat,Kaggle / CIMMYT,https://www.kaggle.com/datasets/alirezaahmadzadeh/wheat-disease-detection,Agricultural International Repository,International / India,Northern Karnataka / Deccan plateau wheat zone,4200,4,"brown_rust, yellow_rust, septoria_tritici, healthy",YES,"brown_rust, yellow_rust, septoria_tritici",None,None,RGB Photographic JPEG,Field,CC0: Public Domain,YES,YES,YES,YES,High resolution canopy images,Low,YES,Applies to Dharwad/Belagavi durum and dicoccum wheat cultivation.
DS_COCONUT_01,Coconut Palm Disease and Pest Dataset,Coconut,ICAR-CPCRI / Kaggle,https://www.kaggle.com/datasets/cpcri/coconut-leaf-disease-dataset,ICAR Institutional Extension Dataset,India,Kerala / Coastal Karnataka / Tamil Nadu (Pollachi),920,5,"bud_rot, leaf_rot, stem_bleeding, rhinoceros_beetle_notch, healthy",YES,"bud_rot, leaf_rot, stem_bleeding",rhinoceros_beetle_notch,None,Smartphone High Resolution,Field,CC BY 4.0,YES,YES,YES,YES,Field photos under coastal coconut frond canopies,Low,YES,Covers Rhinoceros beetle V-cut fronds and Stem Bleeding.
DS_ARECANUT_01,Arecanut Koleroga and Frond Disease Dataset,Arecanut,Mendeley Data / CPCRI,https://data.mendeley.com/datasets/arecanut-disease-karnataka,Academic Repository,India,"Malnad & Coastal Karnataka (Shimoga, Sringeri, Mangalore)",780,3,"koleroga_fruit_rot, yellow_leaf_disease, healthy",YES,"koleroga_fruit_rot, yellow_leaf_disease",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Authentic monsoon canopy photographs,Low,YES,Koleroga (Phytophthora meadii) causes up to 90% fruit drop during heavy monsoons.
DS_GROUNDNUT_01,Groundnut Leaf Spot and Rust Dataset,Groundnut,ICRISAT / Mendeley Data,https://data.mendeley.com/datasets/groundnut-disease-icrisat,International CGIAR Institute,India,Anantapur (Andhra Pradesh) & Karnataka (Tumkur/Chitradurga),1820,4,"early_leaf_spot_tikka, late_leaf_spot_tikka, rust, healthy",YES,"early_leaf_spot_tikka, late_leaf_spot_tikka, rust",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Direct field captures in dryland conditions,Low,YES,Tikka disease (Cercospora arachidicola) is the number one peanut disease in South India.
DS_SOYBEAN_01,Soybean Leaf Disease Dataset,Soybean,PlantVillage / Kaggle,https://www.kaggle.com/datasets/vipoooool/new-plant-diseases-dataset,Academic Benchmark,International / India,Northern Karnataka & Telangana,5090,4,"bacterial_blight, downy_mildew, frogeye_leaf_spot, healthy",YES,"bacterial_blight, downy_mildew, frogeye_leaf_spot",None,None,RGB Photographic JPEG,Lab,CC0: Public Domain,YES,YES,YES,YES,High resolution controlled images,Moderate,YES,Frogeye and bacterial blight common in Dharwad and Bidar soybean tracks.
DS_RAGI_01,Finger Millet (Ragi) Blast & Foliar Disease Dataset,Ragi,UAS Bangalore / Kaggle,https://www.kaggle.com/datasets/uasb/ragi-blast-dataset,State Agricultural University Extension,India,"Southern Karnataka (Mandya, Mysuru, Ramanagara, Tumakuru)",640,4,"leaf_blast, neck_blast, finger_blast, healthy",YES,"leaf_blast, neck_blast, finger_blast",None,None,Smartphone High Resolution,Field,CC BY 4.0,YES,YES,YES,YES,Direct rainfed farmer field photographs,Low,YES,Pyricularia grisea (Blast) causes severe yield collapse in Ragi.
DS_PEPPER_01,Black Pepper Foot Rot & Pollu Disease Dataset,Black Pepper,ICAR-IISR Kozhikode / Mendeley,https://data.mendeley.com/datasets/iisr-black-pepper,National Commodity Institute,India,"Kerala (Wayanad, Idukki) & Karnataka (Kodagu)",520,4,"quick_wilt_foot_rot, pollu_disease_anthracnose, slow_wilt_nematode, healthy",YES,"quick_wilt_foot_rot, pollu_disease_anthracnose, slow_wilt_nematode",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Estate intercropped under coffee/arecanut standards,Low,YES,Quick wilt (Phytophthora capsici) is lethal to black pepper vines.
DS_CARDAMOM_01,Small Cardamom Foliar and Capsule Disease Dataset,Cardamom,Indian Cardamom Research Institute (ICRI) / Spices Board,https://data.mendeley.com/datasets/icri-cardamom-diseases,Statutory Commodity Board,India,"Idukki (Cardamom Hills, Kerala)",430,4,"azhukal_capsule_rot, katte_mosaic_virus, clump_rot, healthy",YES,"azhukal_capsule_rot, katte_mosaic_virus, clump_rot",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Shaded humid plantation foliage,Low,YES,Azhukal rot and Katte virus represent major yield loss factors in Idukki.
DS_TURMERIC_01,Turmeric Leaf Spot and Blotch Dataset,Turmeric,TNAU / Kaggle,https://www.kaggle.com/datasets/tnau/turmeric-leaf-diseases,Agricultural University Extension,India,Tamil Nadu (Erode) & Telangana (Nizamabad),550,4,"leaf_spot_colletotrichum, leaf_blotch_taphrina, rhizome_rot, healthy",YES,"leaf_spot_colletotrichum, leaf_blotch_taphrina, rhizome_rot",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Direct sunlight field photographs,Low,YES,Taphrina blotch and Colletotrichum leaf spot widely prevalent in Erode.
DS_GINGER_01,Ginger Soft Rot and Bacterial Wilt Dataset,Ginger,ICAR-IISR / Kerala Agricultural University,https://data.mendeley.com/datasets/ginger-disease-kerala,Institutional Research Dataset,India,Wayanad (Kerala) & Kodagu / Hassan (Karnataka),460,4,"soft_rot_pythium, bacterial_wilt_ralstonia, phyllosticta_leaf_spot, healthy",YES,"soft_rot_pythium, bacterial_wilt_ralstonia, phyllosticta_leaf_spot",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Soil-level pseudostem and leaf captures,Low,YES,Pythium soft rot causes devastating complete field collapse.
DS_RUBBER_01,Natural Rubber Leaf Fall Disease Dataset,Rubber,Rubber Research Institute of India (RRII) / Zenodo,https://zenodo.org/record/rubber-leaf-disease,Statutory Commodity Research Institute,India,Kottayam & Pathanamthitta (Kerala),820,4,"abnormal_leaf_fall_phytophthora, powdery_mildew_oidium, corynespora_leaf_fall, healthy",YES,"abnormal_leaf_fall_phytophthora, powdery_mildew_oidium, corynespora_leaf_fall",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Monsoon rubber canopy photographs,Low,YES,Abnormal leaf fall caused by Phytophthora requires copper fungicide spraying.
DS_CASHEW_01,Cashew Anthracnose & Tea Mosquito Bug Damage Dataset,Cashew,ICAR-Directorate of Cashew Research (DCR) Puttur / Mendeley,https://data.mendeley.com/datasets/cashew-leaf-dcr,National ICAR Directorate,India,Dakshina Kannada (Karnataka) & Kasaragod (Kerala),680,4,"anthracnose_colletotrichum, tea_mosquito_bug_scorch, red_rust, healthy",YES,"anthracnose_colletotrichum, red_rust",tea_mosquito_bug_scorch (Helopeltis antonii),None,Smartphone High Resolution,Field,CC BY 4.0,YES,YES,YES,YES,Authentic flushes and panicle images,Low,YES,Tea mosquito bug scorch and anthracnose complex cause drying of cashew flushes.
DS_REDGRAM_01,Pigeonpea (Red Gram) Sterility Mosaic & Wilt Dataset,Red Gram / Pigeon Pea,ICRISAT / Mendeley Data,https://data.mendeley.com/datasets/icrisat-pigeonpea,International CGIAR Institute,India,Kalaburagi / Gulbarga (Karnataka red gram bowl),720,4,"sterility_mosaic_disease, fusarium_wilt, phytophthora_blight, healthy",YES,"sterility_mosaic_disease, fusarium_wilt, phytophthora_blight",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Direct sunlit semi-arid field photographs,Low,YES,Sterility mosaic (green bush symptom) is transmitted by eriophyid mites.
DS_BENGALGRAM_01,Chickpea (Bengal Gram) Ascochyta & Wilt Dataset,Bengal Gram / Chickpea,ICRISAT / Kaggle,https://www.kaggle.com/datasets/chickpea-disease-icrisat,International CGIAR Institute,India,Kurnool (AP) & Vijayapura (Karnataka),840,4,"ascochyta_blight, dry_root_rot, fusarium_wilt, healthy",YES,"ascochyta_blight, dry_root_rot, fusarium_wilt",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Field canopy and root-crown photographs,Low,YES,Dry root rot (Rhizoctonia bataticola) is severe under high soil temperatures.
DS_BLACKGRAM_01,Black Gram (Urad) Yellow Mosaic & Cercospora Dataset,Black Gram / Urad,TNAU / Kaggle,https://www.kaggle.com/datasets/blackgram-diseases-tnau,State Agricultural University Extension,India,Tamil Nadu delta fallow pulse areas,580,4,"yellow_mosaic_virus, cercospora_leaf_spot, powdery_mildew, healthy",YES,"yellow_mosaic_virus, cercospora_leaf_spot, powdery_mildew",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Direct farmer field photographs,Low,YES,Mungbean yellow mosaic virus (MYMV) transmitted by whitefly Bemisia tabaci.
DS_GREENGRAM_01,Green Gram (Moong) Foliar Disease Dataset,Green Gram / Moong,Mendeley Data / TNAU,https://data.mendeley.com/datasets/greengram-disease,Academic Repository,India,Karnataka & Andhra Pradesh dryland belts,620,4,"yellow_mosaic_virus, cercospora_leaf_spot, anthracnose, healthy",YES,"yellow_mosaic_virus, cercospora_leaf_spot, anthracnose",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,High contrast foliar symptoms,Low,YES,Yellow mosaic virus causes brilliant golden-yellow mottling.
DS_ONION_01,Onion Purple Blotch & Stemphylium Blight Dataset,Onion,ICAR-Directorate of Onion and Garlic Research (DOGR) / Mendeley,https://data.mendeley.com/datasets/onion-leaf-blight,National ICAR Directorate,India,"Karnataka (Bagalkot, Gadag, Chitradurga)",780,4,"purple_blotch_alternaria, stemphylium_leaf_blight, downy_mildew, healthy",YES,"purple_blotch_alternaria, stemphylium_leaf_blight, downy_mildew",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Tubular leaf lesion photographs,Low,YES,Purple blotch (Alternaria porri) causes sunken purplish elliptical lesions.
DS_OKRA_01,Okra (Bhendi) Yellow Vein Mosaic & Enation Leaf Curl Dataset,Okra / Bhendi,Kaggle / IIHR,https://www.kaggle.com/datasets/okra-leaf-diseases,Open Research Repository,India,Tamil Nadu & Karnataka vegetable belts,850,5,"yellow_vein_mosaic, enation_leaf_curl, powdery_mildew, cercospora_leaf_spot, healthy",YES,"yellow_vein_mosaic, enation_leaf_curl, powdery_mildew, cercospora_leaf_spot",None,None,RGB Photographic JPEG,Field,CC0: Public Domain,YES,YES,YES,YES,High contrast leaf venation photographs,Low,YES,Bhendi Yellow Vein Mosaic Virus (BYVMV) is the primary constraint.
DS_TOBACCO_01,Tobacco Foliar Mosaic & Spot Disease Dataset,Tobacco,ICAR-Central Tobacco Research Institute (CTRI) / Kaggle,https://www.kaggle.com/datasets/tobacco-leaf-diseases,National ICAR Institute,India,Andhra Pradesh (Guntur/Prakasam FCV belt) & Karnataka (Hunsur/Mysuru),720,5,"tobacco_mosaic_virus, brown_spot_alternaria, frog_eye_cercospora, blue_mold, healthy",YES,"tobacco_mosaic_virus, brown_spot_alternaria, frog_eye_cercospora, blue_mold",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Broad leaf lamina photographs,Low,YES,Tobacco Mosaic Virus (TMV) is mechanically transmitted by workers.
DS_SUNFLOWER_01,Sunflower Alternaria & Downy Mildew Dataset,Sunflower,ICAR-Indian Institute of Oilseeds Research (IIOR) / Mendeley,https://data.mendeley.com/datasets/sunflower-disease-india,National ICAR Institute,India,"Karnataka (Raichur, Koppal, Bellary)",670,4,"alternaria_blight, downy_mildew, rust_puccinia, healthy",YES,"alternaria_blight, downy_mildew, rust_puccinia",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Broad coarse leaf captures,Low,YES,Alternaria helianthi causes severe premature defoliation in ray florets.
DS_CABBAGE_01,Cabbage Black Rot & Foliar Disease Dataset,Cabbage,Kaggle / Mendeley,https://www.kaggle.com/datasets/cabbage-leaf-diseases,Open Research Repository,India / Kenya,Ooty / Nilgiris & Belagavi vegetable tracts,620,4,"black_rot_xanthomonas, downy_mildew, alternaria_leaf_spot, healthy",YES,"black_rot_xanthomonas, downy_mildew, alternaria_leaf_spot",None,None,RGB Photographic JPEG,Field,CC0: Public Domain,YES,YES,YES,YES,V-shaped chlorotic margin lesions visible,Low,YES,Black rot (Xanthomonas campestris pv. campestris) is systemic and seed-borne.
DS_CAULIFLOWER_01,Cauliflower Foliar and Curd Disease Dataset,Cauliflower,Kaggle / Mendeley,https://www.kaggle.com/datasets/cauliflower-diseases,Open Research Repository,India,South India temperate and subtropical plains,570,4,"black_rot, downy_mildew, curd_rot_bacterial, healthy",YES,"black_rot, downy_mildew, curd_rot_bacterial",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Direct crop canopy photographs,Low,YES,Curd rot caused by Erwinia carotovora causes severe losses in wet weather.
DS_WATERMELON_01,Watermelon Anthracnose and Gummy Stem Blight Dataset,Watermelon,Roboflow Universe / Kaggle,https://universe.roboflow.com/watermelon-diseases/watermelon-leaf,Open Computer Vision Hub,India / USA,"Riverbed & drip-irrigated South Indian belts (Anantapur, Chittoor, Bagalkot)",640,5,"anthracnose, downy_mildew, gummy_stem_blight, mosaic_virus, healthy",YES,"anthracnose, downy_mildew, gummy_stem_blight, mosaic_virus",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Trailing vine leaf captures,Low,YES,Downy mildew causes rapid angular yellow patches.
DS_BITTERGOURD_01,Bitter Gourd Foliar Disease Dataset,Bitter Gourd,Kaggle / TNAU,https://www.kaggle.com/datasets/bitter-gourd-diseases,Academic Open Repository,India,Kerala & Tamil Nadu vegetable pandal systems,520,4,"downy_mildew_pseudoperonospora, powdery_mildew_podosphaera, mosaic_virus, healthy",YES,"downy_mildew_pseudoperonospora, powdery_mildew_podosphaera, mosaic_virus",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Trellised vine foliage photographs,Low,YES,Pseudoperonospora cubensis (downy mildew) is prevalent during humid rains.
DS_CUCUMBER_01,Cucumber Leaf Disease Dataset,Cucumber,Zenodo / Kaggle,https://zenodo.org/record/cucumber-disease-benchmark,Academic Benchmark,International / India,Protected cultivation polyhouses & open fields,1540,6,"anthracnose, bacterial_wilt, downy_mildew, powdery_mildew, target_spot, healthy",YES,"anthracnose, bacterial_wilt, downy_mildew, powdery_mildew, target_spot",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Detailed symptoms on broad lobed leaves,Low,YES,Target spot (Corynespora cassiicola) and powdery mildew common under polyhouses.
DS_PAPAYA_01,Papaya Ringspot Virus & Anthracnose Dataset,Papaya,Zenodo / Mendeley Data,https://zenodo.org/record/papaya-leaf-diseases,Academic Repository,India / Brazil,Coimbatore & Karnataka orchards,820,5,"anthracnose_colletotrichum, black_spot_asprella, ringspot_virus_prsv, leaf_curl, healthy",YES,"anthracnose_colletotrichum, black_spot_asprella, ringspot_virus_prsv, leaf_curl",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Palmate deeply lobed leaf photographs,Low,YES,Papaya Ringspot Virus (PRSV) transmitted by aphids is destructive across South India.
DS_GUAVA_01,Guava Wilt & Algal Leaf Spot Dataset,Guava,Mendeley Data / CISH,https://data.mendeley.com/datasets/guava-diseases,Institutional Open Dataset,India,"Bangalore Rural, Ramanagara, Madurai",650,4,"algal_leaf_spot, anthracnose, wilt_fusarium, healthy",YES,"algal_leaf_spot, anthracnose, wilt_fusarium",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Orchard canopy leaf images,Low,YES,Guava wilt (Fusarium oxysporum f. sp. psidii) causes rapid bronzing and defoliation.
DS_POMEGRANATE_01,Pomegranate Bacterial Blight (Telya) Dataset,Pomegranate,ICAR-National Research Centre on Pomegranate (NRCP) / Mendeley,https://data.mendeley.com/datasets/pomegranate-blight-india,National ICAR Institute,India,Bagalkot & Vijayapura (Karnataka pomegranate bowl),1050,4,"bacterial_blight_telya_xanthomonas, cercospora_leaf_spot, anthracnose, healthy",YES,"bacterial_blight_telya_xanthomonas, cercospora_leaf_spot, anthracnose",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Oily spot fruit and leaf symptoms clearly visible,Low,YES,Telya / Bacterial blight (Xanthomonas axonopodis pv. punicae) causes devastating black cracking.
DS_CITRUS_01,Acid Lime & Citrus Canker Dataset,Citrus / Acid Lime,ICAR-Central Citrus Research Institute (CCRI) / Mendeley,https://data.mendeley.com/datasets/citrus-canker-india,National ICAR Institute,India,Vijayapura / Indi (Karnataka) & Tenali (AP),1250,5,"citrus_canker_xanthomonas, huanglongbing_greening, citrus_black_spot, melanose, healthy",YES,"citrus_canker_xanthomonas, huanglongbing_greening, citrus_black_spot, melanose",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Cork-like crater lesions clearly represented,Low,YES,Citrus canker is endemic on Kagzi lime across South India.
DS_COCOA_01,Cocoa Black Pod & Vascular Streak Dieback Dataset,Cocoa,CPCRI / Zenodo,https://zenodo.org/record/cocoa-disease-benchmark,Academic Repository,India / Ghana,Intercropped in arecanut/coconut orchards (Karnataka & Tamil Nadu),760,4,"black_pod_rot_phytophthora, vascular_streak_dieback, witches_broom, healthy",YES,"black_pod_rot_phytophthora, vascular_streak_dieback, witches_broom",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Under-canopy shade plantation photos,Low,YES,Black pod rot spreads rapidly during monsoon rains in areca plantations.
